bootstrap_id,T_bootstrap
1,783860.7370139038
2,836363.97977590247
3,912381.36740022956
4,943777.35885003721
5,865840.34448554937
6,860570.11585480219
7,856842.77719419671
8,958202.75536715914
9,860203.85695214022
10,870136.4921986335
11,910123.75510586693
12,837072.86767307646
13,852529.90223628655
14,874373.4201136647
15,817849.57585200632
16,888612.83334249584
17,903872.07226200751
18,890625.56953862007
19,856177.96748395136
20,808471.13574042893
21,906146.92269566492
22,839826.25932796276
23,827003.85134451988
24,811565.22050165571
25,867843.35199326649
26,853517.82882941444
27,893240.65227924706
28,873028.16690186423
29,842290.60344548069
30,850489.57999226206
31,888773.7831585299
32,858782.34154222731
33,864626.17569007608
34,867969.5715129585
35,774447.23915537621
36,850337.14295528864
37,808116.62273736275
38,868984.05976825871
39,867303.6961918032
40,836742.08086275926
41,814738.18319854105
42,875383.94880180934
43,840096.79969673441
44,845243.6550604736
45,887833.97968581086
46,848756.87117857765
47,856113.48120432114
48,875921.68831731158
49,860604.76328883553
50,793669.37810956524
51,812505.66453904018
52,834942.1568469468
53,804174.71781507926
54,829675.3832539299
55,844508.58262370131
56,805322.38241964602
57,878039.35995040741
58,881264.68716459093
59,819212.06736264331
60,862836.23027751024
61,874842.32376805972
62,817938.70272598858
63,865936.18273057626
64,881929.64461066818
65,848732.45973188325
66,874780.56212384021
67,799227.46436924231
68,817471.83459272794
69,800195.56007703941
70,841847.72552589502
71,939957.90378238179
72,913188.84590215562
73,818973.72751445137
74,870035.29264362203
75,851195.91428140295
76,871794.0175363546
77,818110.16600381932
78,812986.15143269114
79,816060.29928107804
80,838605.39693782979
81,837318.70324699511
82,823547.26467259787
83,885500.50991808542
84,856141.83425520896
85,872166.73746642622
86,864110.81879001949
87,890510.67674108048
88,869052.94738070783
89,858626.8786954052
90,816588.28825326543
91,863256.07510935655
92,844146.19737686776
93,855569.02667815238
94,874301.13550575962
95,822857.98279703106
96,839340.20825353975
97,879522.99263056403
98,965567.5827961847
99,831259.14964541001
100,859088.03445230052
101,907557.5724653689
102,888437.07960267656
103,822100.83059412241
104,859412.91022160708
105,937531.42189474183
106,797087.78513349115
107,880610.3250515461
108,837904.35868431279
109,793607.60816945008
110,851366.49451065203
111,874161.60272144817
112,862428.01880052174
113,829384.55506849883
114,852140.75151908724
115,872339.6966838612
116,897631.6263672224
117,878297.06329159031
118,879633.706171792
119,847257.87964653946
120,840451.24942533742
121,881379.45908267389
122,816303.88359360117
123,857526.92884067085
124,844733.49032982206
125,872865.91645578411
126,879594.08791579062
127,835304.92873519589
128,863212.88428240723
129,826130.71985635068
130,855609.5869273782
131,848078.66216080484
132,884518.16920125089
133,859045.37222534977
134,883512.37030346342
135,859830.97796695877
136,871421.07369818515
137,836509.85323613253
138,815426.1712045219
139,862463.0543425011
140,914952.80158326228
141,839675.03887394746
142,857337.88013135502
143,850714.19346693368
144,864156.54468349623
145,865951.12504598685
146,858339.19867847976
147,876357.55503413687
148,848469.8724631056
149,793513.88464671024
150,863469.99171265506
151,868202.15361272066
152,784286.36584355496
153,848081.94033180585
154,757020.03381412197
155,871104.18560673809
156,844075.34516635048
157,842419.89403181849
158,862941.39781651215
159,835956.14415040053
160,818466.06890568975
161,882559.26552803069
162,848094.61106106418
163,820825.31892309384
164,913280.43488947453
165,874664.04938004958
166,852160.37417194957
167,871553.93023777974
168,821184.67091881798
169,790502.81225536345
170,803935.3046743914
171,827344.23151818011
172,837325.27934094251
173,835075.67342228489
174,948448.62339265947
175,849790.72570699488
176,854629.56645511091
177,886628.55018964945
178,885183.64050689596
179,869073.94567270251
180,872537.91099391971
181,879537.00548540626
182,901841.59207651031
183,866504.97547262395
184,894554.05416096665
185,856723.60772127123
186,802571.30551384832
