bootstrap_id,T_bootstrap
1,205972.32228347185
2,230712.00400457322
3,234680.85462042829
4,231462.94849625078
5,220035.56461015812
6,219376.31469663364
7,229451.64069145109
8,208728.26995997445
9,229950.03736370464
10,204174.96397352457
11,206521.24248171796
12,220874.08584134272
13,266763.07783039415
14,227342.8622730498
15,245630.98495933658
16,181798.44836784917
17,245535.02259424151
18,218278.74761614657
19,233671.04790375964
20,219496.27648013708
21,217766.90285468969
22,230705.31224712334
23,223721.32817612868
24,210732.9447423339
25,236709.45907610346
26,232610.03746264448
27,214468.00576017486
28,201793.09678751012
29,257515.12366275265
30,223562.36572292948
31,260060.31727254693
32,202200.68551665384
33,236881.36248414626
34,220990.50820214083
35,214266.74797416633
36,211259.47756973465
37,234447.68725549238
38,208686.38404245896
39,228900.87915037578
40,240754.871591709
41,246567.29375855328
42,234629.34468146326
43,230824.94368388504
44,248446.47732189961
45,257154.57914739434
46,214904.77800845072
47,216897.88475939789
48,214159.33081807435
49,197586.08639687585
50,226704.54253050656
51,237091.80852853876
52,209391.40901630014
53,241092.59981659611
54,228393.29415156794
55,239414.57038363867
56,223127.07674648619
57,230203.69180042102
58,229301.40589602047
59,261173.8963643724
60,225546.03838279122
61,235047.4048334377
62,238570.62984020202
63,223385.22614047147
64,243608.70380079016
65,206290.17741101937
66,216705.58909856118
67,222895.938437181
68,240039.70570481394
69,225986.01426657176
70,211518.39106183616
71,250623.19307716674
72,223104.38206118063
73,222583.11129380268
74,217888.29293277519
75,244329.76774271397
76,224570.08793811579
77,197538.05173668065
78,212852.3698452744
79,207227.29918918828
80,223501.12570906259
81,244598.53735044127
82,204327.55328895076
83,228538.78009861216
84,236850.18309448776
85,209946.91461086561
86,201376.54252345176
87,225953.69586251641
88,225634.66605332179
89,237585.26247611965
90,246942.75240943496
91,246679.58134955415
92,207522.42345976966
93,226482.83745608857
94,259927.91863279464
95,209870.42406090361
96,254144.33208756463
97,230585.45754841142
98,218620.35333676304
99,256685.33292477351
100,210568.4127714872
101,206272.16836525413
102,255077.34530599398
103,207924.04780334921
104,231483.25282394554
105,243442.7527222948
106,235359.70113514614
107,228126.59392270783
108,226034.9235302959
109,250063.77930927312
110,223247.0756016919
111,220737.24268753245
112,247712.75250202185
113,233439.38437228935
114,229770.4343699016
115,252212.27805298427
116,214299.57816910365
117,260596.22634344088
118,211176.73351971386
119,191559.35484318441
120,206068.06098253001
121,216376.01306282022
122,216858.82454118936
123,218985.68841104087
124,220207.16465813474
125,212756.49725301258
126,232038.1897926025
127,227365.70011295768
128,252662.35784031427
129,211038.9673029806
130,248059.65456665648
131,229222.37266783987
132,257753.41430485371
133,236508.40189334881
134,236102.45784405968
135,230657.71865403902
136,234790.84642257253
137,250367.14903509317
138,212587.30715535249
139,227783.97229274322
140,215308.37580511608
141,212065.21490954809
142,226738.45262095745
143,240900.43357133484
144,214501.58620966648
145,225684.4805882572
146,218182.69916845695
147,225839.23139623902
148,221558.23244342304
149,222321.93295330007
150,218450.63377835153
151,238907.25913902436
