bootstrap_id,T_bootstrap
1,67505493.933803052
2,66523035.89325317
3,67627843.821541771
4,67616742.328789428
5,66894736.272490151
6,66986624.187713519
7,66884137.213574253
8,66503832.717457272
9,67166694.8864602
10,66398380.409198351
11,67550993.379425585
12,67798419.309424177
13,66416689.744653128
14,67426296.884509623
15,66767880.755564958
16,67831667.530609086
17,67215966.63821806
18,66848319.163083531
19,67839475.275072441
20,67666348.500340372
21,67089808.478478014
22,67207562.215445235
23,67564998.816673324
24,67217845.741476089
25,67075915.8325608
26,67275155.68881014
27,66882057.597808011
28,67000085.903196536
29,67788672.081728339
30,67620152.416873589
31,67116887.26219815
32,66087248.779045954
33,67489706.192169011
34,67150714.268135101
35,66218332.804182842
36,67618719.553071111
37,67296496.307423279
38,66741087.869606316
39,66721097.108776137
40,66844261.267926209
41,66764545.463066503
42,66411450.435016908
43,66851695.523203239
44,66348118.425999328
45,67186253.165489852
46,67832975.048062295
47,66855692.810223527
48,67562033.309921205
49,67681158.437071204
50,67104004.360881619
51,66931426.041396976
52,67402895.480264127
53,66470942.920086473
54,68130791.286633223
55,66670499.429523319
56,67997358.983536139
57,65586482.526705556
58,66346853.115421802
59,68077570.069474295
60,66815236.826225258
61,67198587.710500777
62,67557954.036244914
63,66347334.413023062
64,67572927.328399509
65,67118037.708737016
66,67252423.771833971
67,68196986.496168911
68,67163439.185025051
69,66799315.592889637
70,66186697.823808022
71,66948525.674947649
72,66965184.565803982
73,67380164.716414586
74,66565854.625286832
75,66950742.809808888
76,66399566.557644181
77,66657219.612180598
78,67606703.722350016
79,67496177.937602147
80,67922427.119024962
81,66607230.956631891
82,67255430.454324633
83,67326096.903695196
84,67374809.963354707
85,67379238.673012927
86,67716035.522289574
87,68402994.054271534
88,68353022.6510337
89,68550020.50192073
90,66466429.477399379
91,66817644.411269359
92,66179116.020920433
93,67215645.385637462
94,67082969.860333212
95,67404178.798290133
96,66385620.622850262
97,66747638.277843855
98,68016639.272795901
99,67098466.08648432
100,66576734.495910011
101,67442900.423376009
102,67959684.420668513
103,67072330.432215534
104,67291711.488252342
105,66911707.796945967
106,66814908.980073437
107,67315592.839509532
108,66919322.690207876
109,66665963.538676903
110,67649813.163226441
111,66320279.913835235
112,66588512.195786119
113,67580423.556026593
114,66424533.578068197
115,67115171.947415069
116,66857477.251510069
117,66780091.223598637
118,67312813.285219446
119,66982700.021415807
120,67346830.941876248
121,67580032.855137348
122,67627180.806770906
123,67573305.860941142
124,66703353.664251417
125,66831464.558029614
126,66630287.099641487
127,67270899.156908005
128,67844336.845993683
129,68021726.73313126
130,67988743.875641137
131,66379536.004114091
132,67330934.932762057
133,67237414.365307003
134,67963547.023476586
135,66409701.115156531
136,67594952.68064782
137,66896463.088123478
138,66922640.766412862
139,68030781.506452113
140,67504544.092203796
141,66954360.749965802
142,66907683.938478075
143,67129550.29418464
144,66218561.632504299
145,66749100.416110002
146,66463010.143140063
147,67197689.766532406
148,67185715.898615211
149,67137717.46362187
150,66503636.32042408
151,66156501.286980972
152,67348735.126600429
153,66841259.481693201
154,66853227.615287244
155,66589366.274536714
156,66700910.818736985
157,67191712.764041513
158,66385810.428668655
159,66905458.934170127
160,66814448.678409517
161,67032366.178987481
162,67438537.162138939
163,68182253.784622967
164,68351591.521462038
165,67084040.852937743
166,67174413.778709739
167,66689299.67697119
168,66557074.790890686
169,66955982.57905443
170,66890003.552622885
171,67711296.050738364
172,67196010.334236816
173,66549788.914538719
174,67261652.034289435
175,67749487.547874138
176,66935791.718370877
177,66757725.270684607
178,66863328.636068895
179,65668685.599707976
180,67302173.69022119
181,67497391.333273798
182,66760835.409060709
183,67360994.706304103
184,67455152.334267512
185,67781366.04336448
186,67022117.333158121
187,67137525.001816541
188,67188028.348295882
189,67371142.342160195
190,66646039.910437733
191,67298219.74273096
192,66392903.016241096
193,67748872.104132175
194,67820188.592656732
195,67963262.96920374
196,67406911.085369945
197,66358654.123240113
198,67202016.449819669
199,67094427.846265748
200,67372817.968956396
201,66151644.726426475
202,66717499.401807033
203,67450111.864133641
204,67186116.363226011
205,67651137.5929638
206,67032524.493940316
207,67589936.609208182
208,66932957.743085727
209,67141038.510069758
210,66398083.036613792
211,68035058.250101313
212,67268913.800868973
213,67959635.186905071
214,66507139.171557531
215,67183154.085390002
216,66439098.760191306
217,66403712.414755508
218,66469335.219234511
219,66994762.778827026
220,66839905.450074799
221,67225591.903807268
222,67115869.758861363
223,68000422.531999409
224,65936836.845443979
225,67636601.186056763
226,66735939.114310853
227,67005502.346477054
228,66836057.748570718
229,66430440.176782176
230,66241325.262355052
231,66854666.676514693
232,66970500.191615328
233,67492488.936131552
234,66191243.210986979
235,67413983.418596938
236,66222891.912418701
237,66275841.802198499
238,67390952.443388939
239,66531227.284284078
240,66545041.3397718
241,67287744.123187497
242,66803048.636380188
243,66478746.482371256
244,67007456.019365035
245,66351057.390199877
246,67394932.246385425
247,67870883.65830645
248,67679067.851756871
249,68223983.191736192
250,67698197.802205935
251,67524336.722798213
252,66981394.155405171
253,67217052.676987976
254,67308605.350966558
255,66852254.942102425
256,67649351.422447428
257,67071099.209940337
258,66088835.775779046
259,66102691.148784183
260,67566549.627822369
261,66175774.01071354
262,66079290.00924293
263,67501993.670650303
264,66322968.109974191
265,67162093.431766152
266,66927277.753519237
267,66496993.408962317
268,68329251.315837145
269,66588675.291677289
270,66047278.209144659
271,67480749.948363751
272,66453471.239686608
273,67281309.581235483
274,67769667.571099967
275,66215746.27492436
276,66940415.813221648
277,67150155.929605961
278,67701482.946550295
279,66214124.683720157
280,67455247.313344836
281,67670072.410356984
282,67781670.566901952
283,67236712.211750343
284,66200732.772545971
285,68167162.387817979
286,67628750.481590241
287,66682389.185762592
288,66527433.326428033
289,67724633.004679263
290,66367437.417078912
291,66860611.079363234
292,66859722.063880824
293,67597439.476251259
294,66726699.295556977
295,66792209.797228068
296,66683919.449400537
297,66426878.828874789
298,67253188.894118413
299,67611195.131592259
300,66560631.257560924
301,66624066.013265826
302,66715142.53902965
303,67803648.214419097
304,67485326.081964284
305,67472436.582990184
306,68096744.50251852
307,66206554.322872706
308,67505702.255124524
309,66995774.493683018
310,66469297.716385975
311,66709153.85465581
312,67599512.834407836
313,67485450.390956968
314,67651326.263315842
315,65935315.137370139
316,68253389.215178654
317,67275524.370924592
318,66732539.592336677
319,67149742.967234537
320,66261258.871996917
321,66907510.425036497
322,67200499.188068494
323,66620174.435017899
324,67865436.550376892
325,67720057.529264346
326,66895639.403029099
327,66676830.804977961
328,67630786.422740906
329,67394542.478164986
330,67206064.715751067
331,67355386.25162369
332,67600295.32503517
333,66864355.990383387
334,67158434.273453504
335,66747125.926722802
336,67133608.47379002
337,67709291.213639721
338,66557647.306844018
339,67106645.362983137
340,67195307.777115747
341,66171818.319612317
342,67054367.722652413
343,66978605.593383066
344,67869384.394483611
345,65631793.339190498
346,67791428.302239746
347,67047996.907683544
348,67063478.304774888
349,67334740.147169068
350,66385399.863075644
351,66448747.887862071
352,66905467.788465038
353,68051445.310503483
354,67680059.475665376
355,66480605.842916422
356,68011767.965998605
357,66512041.035249174
358,66892061.875798121
359,67354481.464117378
360,66551603.713063113
361,67211203.503612623
362,66762827.895772681
363,66839101.443944611
364,66861524.165038101
365,67158390.850252435
366,67053321.157951713
367,67438888.3079869
368,66858203.237855673
369,67216325.985172942
370,66446368.19661402
371,67544466.876794964
372,66082541.162809633
373,67167218.880094126
374,66886693.021421053
375,66222493.043448962
376,65886853.154273666
377,66763819.234708428
378,66566799.367489912
379,66321905.679141417
380,67691183.722555175
381,67117467.602316186
382,68594894.833087787
383,66825978.981549844
384,66598079.922934562
385,67232045.760792673
386,65971425.193209693
387,67318188.183971554
388,65592111.652262688
389,65890231.933172062
390,67451563.679128051
391,67337710.671585798
392,67385145.350291669
393,67179059.682375014
394,67007655.534484632
395,67134475.672395363
396,67901636.113404885
397,67106097.590093888
398,67297627.973090395
399,67223634.946166247
400,67218530.030592173
401,66697233.386640675
402,66056287.213414438
403,66412991.48203209
404,67078187.519658051
405,67028941.876993589
406,66920288.822609477
407,67808633.022969902
408,67549816.394231185
409,67392187.068324238
410,66863224.474866822
411,66777079.198595583
412,66557811.763509028
413,67607418.503095031
414,66496977.299472593
415,67022645.037598468
416,66816899.858176298
417,67142665.498942971
418,67508422.992007017
419,67216237.939322516
420,67720708.485408559
421,67308612.766404152
422,66649326.348362923
423,66778063.565549463
424,66467068.226713859
425,67215831.015645951
426,67023545.678393915
427,66910585.588269658
428,66797401.905439794
429,66776567.480624646
430,66659775.303952254
431,67620156.067711383
432,66406867.3775521
433,67716280.776770025
434,67692107.684316918
435,67737537.841054618
436,67861996.990811825
437,66307554.346623905
438,67135430.008560672
439,67102858.125674173
440,67120969.158629313
441,68322949.745797694
442,67003196.83882495
443,68190460.49082005
444,67619763.523842156
