orbit_key,dataset,platform,processing_level,flight_direction,path_number,frame_count,frame_numbers,beam_mode,scene_count,unique_footprints,first_start_time,last_stop_time,example_scene
NISAR__NISAR__ASCENDING__PATH_16,NISAR,NISAR,RSLC,ASCENDING,16,2,"175,176",,10,10,2025-10-30T08:39:40Z,2026-01-10T08:40:22Z,NISAR_L1_PR_RSLC_004_016_A_176_4005_DHDH_A_20251030T083945_20251030T084019_X05009_N_F_J_001
NISAR__NISAR__ASCENDING__PATH_17,NISAR,NISAR,RSLC,ASCENDING,17,1,1,,5,5,2025-10-30T08:40:18Z,2026-01-10T08:40:29Z,NISAR_L1_PR_RSLC_004_017_A_001_4005_DHDH_A_20251030T084018_20251030T084025_X05009_N_P_J_001
NISAR__NISAR__DESCENDING__PATH_39,NISAR,NISAR,RSLC,DESCENDING,39,2,"100,101",,4,4,2025-12-18T22:13:57Z,2026-01-11T22:14:57Z,NISAR_L1_PR_RSLC_008_039_D_101_2005_DHDH_A_20251218T221422_20251218T221456_X05009_N_F_J_001
NISAR__NISAR__ASCENDING__PATH_45,NISAR,NISAR,RSLC,ASCENDING,45,4,"173,174,175,176",,23,23,2025-11-01T08:55:15Z,2026-01-12T08:57:04Z,NISAR_L1_PR_RSLC_006_045_A_176_2005_DHDH_A_20251125T085624_20251125T085702_X05009_N_F_J_001
NISAR__NISAR__ASCENDING__PATH_60,NISAR,NISAR,RSLC,ASCENDING,60,9,"165,166,167,168,169,170,171,172,173",,9,9,2025-11-02T09:48:31Z,2025-11-02T09:53:34Z,NISAR_L1_PR_RSLC_004_060_A_173_2005_DHDH_A_20251102T095259_20251102T095334_X05009_N_F_J_001
NISAR__NISAR__DESCENDING__PATH_68,NISAR,NISAR,RSLC,DESCENDING,68,3,"89,90,91",,4,4,2025-11-02T22:24:16Z,2025-11-14T22:25:58Z,NISAR_L1_PR_RSLC_005_068_D_091_2005_DHDH_A_20251114T222523_20251114T222558_X05009_N_F_J_001
NISAR__NISAR__DESCENDING__PATH_82,NISAR,NISAR,RSLC,DESCENDING,82,9,"89,90,91,92,93,94,95,96,97",,9,9,2025-11-15T21:42:40Z,2025-11-15T21:47:42Z,NISAR_L1_PR_RSLC_005_082_D_097_2005_DHDH_A_20251115T214707_20251115T214742_X05009_N_F_J_001
NISAR__NISAR__ASCENDING__PATH_117,NISAR,NISAR,RSLC,ASCENDING,117,7,"170,171,172,173,174,175,176",,35,35,2025-11-06T08:44:43Z,2026-01-17T08:48:42Z,NISAR_L1_PR_RSLC_006_117_A_176_2005_DHDH_A_20251130T084805_20251130T084839_X05010_F_F_J_001
NISAR__NISAR__ASCENDING__PATH_118,NISAR,NISAR,RSLC,ASCENDING,118,1,1,,5,5,2025-11-06T08:48:38Z,2026-01-17T08:49:13Z,NISAR_L1_PR_RSLC_006_118_A_001_2005_DHDH_A_20251130T084838_20251130T084911_X05010_F_F_J_001
NISAR__NISAR__DESCENDING__PATH_140,NISAR,NISAR,RSLC,DESCENDING,140,5,"92,93,94,95,96",,15,15,2025-11-19T22:17:38Z,2025-12-13T22:20:27Z,NISAR_L1_PR_RSLC_005_140_D_096_2005_SHSH_A_20251119T221952_20251119T222026_X05009_N_F_J_001
NISAR__NISAR__ASCENDING__PATH_146,NISAR,NISAR,RSLC,ASCENDING,146,5,"172,173,174,175,176",,15,15,2025-11-20T09:02:29Z,2026-01-19T09:05:20Z,NISAR_L1_PR_RSLC_005_146_A_176_2005_DHDH_A_20251120T090443_20251120T090518_X05009_N_F_J_001
NISAR__NISAR__ASCENDING__PATH_147,NISAR,NISAR,RSLC,ASCENDING,147,1,1,,3,3,2025-11-20T09:05:17Z,2026-01-19T09:05:54Z,NISAR_L1_PR_RSLC_005_147_A_001_2005_DHDH_A_20251120T090517_20251120T090551_X05009_N_F_J_001
NISAR__NISAR__ASCENDING__PATH_161,NISAR,NISAR,RSLC,ASCENDING,161,3,"165,166,167",,6,6,2025-12-27T09:56:52Z,2026-01-08T09:58:36Z,NISAR_L1_PR_RSLC_008_161_A_167_2005_DHDH_A_20251227T095759_20251227T095837_X05009_N_F_J_001
