orbit_key,dataset,platform,processing_level,flight_direction,path_number,frame_count,frame_numbers,beam_mode,scene_count,unique_footprints,first_start_time,last_stop_time,example_scene
SENTINEL-1__Sentinel-1A__ASCENDING__PATH_2__IW,SENTINEL-1,Sentinel-1A,SLC,ASCENDING,2,2,"1168,1173",IW,22,22,2025-11-12T21:16:45Z,2026-03-24T21:17:40Z,S1A_IW_SLC__1SDV_20251124T211712_20251124T211747_062024_07C25D_8298
SENTINEL-1__Sentinel-1A__DESCENDING__PATH_10__IW,SENTINEL-1,Sentinel-1A,SLC,DESCENDING,10,8,"596,601,606,611,616,621,626,631",IW,104,104,2025-11-01T09:39:04Z,2026-03-25T09:42:19Z,S1A_IW_SLC__1SDV_20251125T094158_20251125T094226_062032_07C2A7_1882
SENTINEL-1__Sentinel-1A__DESCENDING__PATH_24__IW,SENTINEL-1,Sentinel-1A,SLC,DESCENDING,24,13,"598,603,608,613,618,623,628,633,638,643,648,653,658",IW,169,169,2025-11-02T08:41:37Z,2026-03-26T08:46:52Z,S1A_IW_SLC__1SDV_20251126T084635_20251126T084659_062046_07C335_8407
SENTINEL-1__Sentinel-1A__DESCENDING__PATH_39__IW,SENTINEL-1,Sentinel-1A,SLC,DESCENDING,39,10,"601,606,611,616,621,626,631,636,641,646",IW,120,120,2025-11-03T09:22:59Z,2026-03-27T09:27:09Z,S1A_IW_SLC__1SDV_20251127T092643_20251127T092715_062061_07C3C4_D908
SENTINEL-1__Sentinel-1A__ASCENDING__PATH_46__IW,SENTINEL-1,Sentinel-1A,SLC,ASCENDING,46,2,"1169,1174",IW,26,26,2025-11-03T21:41:33Z,2026-03-27T21:42:20Z,S1A_IW_SLC__1SDV_20251127T214159_20251127T214226_062068_07C418_BF18
SENTINEL-1__Sentinel-1A__ASCENDING__PATH_46__S3,SENTINEL-1,Sentinel-1A,SLC,ASCENDING,46,1,1101,S3,12,12,2025-11-03T21:35:56Z,2026-03-15T21:36:11Z,S1A_S3_SLC__1SDH_20251127T213554_20251127T213618_062068_07C417_4EE8
SENTINEL-1__Sentinel-1A__DESCENDING__PATH_53__IW,SENTINEL-1,Sentinel-1A,SLC,DESCENDING,53,11,"600,606,611,616,621,626,631,636,641,670,675",IW,143,143,2025-11-04T08:25:22Z,2026-03-28T08:31:57Z,S1A_IW_SLC__1SDV_20251128T083136_20251128T083204_062075_07C458_71D0
SENTINEL-1__Sentinel-1A__DESCENDING__PATH_68__IW,SENTINEL-1,Sentinel-1A,SLC,DESCENDING,68,11,"600,605,610,615,620,625,630,635,640,645,650",IW,69,69,2025-11-05T09:06:29Z,2026-03-29T09:07:50Z,S1A_IW_SLC__1SDV_20251129T091038_20251129T091059_062090_07C4F3_B5FC
SENTINEL-1__Sentinel-1A__DESCENDING__PATH_82__IW,SENTINEL-1,Sentinel-1A,SLC,DESCENDING,82,2,"645,650",IW,24,24,2025-11-06T08:12:38Z,2026-03-30T08:13:14Z,S1A_IW_SLC__1SDV_20251130T081301_20251130T081320_062104_07C57B_8FB9
SENTINEL-1__Sentinel-1A__DESCENDING__PATH_83__IW,SENTINEL-1,Sentinel-1A,SLC,DESCENDING,83,2,"598,603",IW,24,24,2025-11-06T09:47:28Z,2026-03-30T09:48:11Z,S1A_IW_SLC__1SDV_20251130T094751_20251130T094818_062105_07C584_FC78
