query_name,feature_index,dataset,platform,product_id,processing_level,flight_direction,relative_orbit,absolute_orbit,frame_number,start_time,stop_time,scene_name
feature_0_part_1_split_1,0,NISAR,NISAR,NISAR_L2_PR_GSLC_004_045_A_174_2005_DHDH_A_20251101T085515_20251101T085551_X05009_N_F_J_001,GSLC,ASCENDING,45,1355,174,2025-11-01T08:55:15Z,2025-11-01T08:55:51Z,NISAR_L2_PR_GSLC_004_045_A_174_2005_DHDH_A_20251101T085515_20251101T085551_X05009_N_F_J_001
feature_0_part_1_split_1,0,NISAR,NISAR,NISAR_L2_PR_GSLC_004_045_A_173_2005_DHDH_A_20251101T085515_20251101T085518_X05010_N_P_J_001,GSLC,ASCENDING,45,1355,173,2025-11-01T08:55:15Z,2025-11-01T08:55:18Z,NISAR_L2_PR_GSLC_004_045_A_173_2005_DHDH_A_20251101T085515_20251101T085518_X05010_N_P_J_001
feature_0_part_1_split_1,0,NISAR,NISAR,NISAR_L2_PR_GSLC_004_045_A_175_2005_DHDH_A_20251101T085550_20251101T085625_X05009_N_F_J_001,GSLC,ASCENDING,45,1355,175,2025-11-01T08:55:50Z,2025-11-01T08:56:25Z,NISAR_L2_PR_GSLC_004_045_A_175_2005_DHDH_A_20251101T085550_20251101T085625_X05009_N_F_J_001
feature_0_part_1_split_1,0,NISAR,NISAR,NISAR_L2_PR_GSLC_004_060_A_170_2005_DHDH_A_20251102T095119_20251102T095153_X05009_N_F_J_001,GSLC,ASCENDING,60,1370,170,2025-11-02T09:51:19Z,2025-11-02T09:51:53Z,NISAR_L2_PR_GSLC_004_060_A_170_2005_DHDH_A_20251102T095119_20251102T095153_X05009_N_F_J_001
feature_0_part_1_split_1,0,NISAR,NISAR,NISAR_L2_PR_GSLC_004_060_A_171_2005_DHDH_A_20251102T095152_20251102T095227_X05009_N_F_J_001,GSLC,ASCENDING,60,1370,171,2025-11-02T09:51:52Z,2025-11-02T09:52:27Z,NISAR_L2_PR_GSLC_004_060_A_171_2005_DHDH_A_20251102T095152_20251102T095227_X05009_N_F_J_001
feature_0_part_1_split_1,0,NISAR,NISAR,NISAR_L2_PR_GSLC_004_060_A_172_2005_DHDH_A_20251102T095226_20251102T095300_X05009_N_F_J_001,GSLC,ASCENDING,60,1370,172,2025-11-02T09:52:26Z,2025-11-02T09:53:00Z,NISAR_L2_PR_GSLC_004_060_A_172_2005_DHDH_A_20251102T095226_20251102T095300_X05009_N_F_J_001
feature_0_part_1_split_1,0,NISAR,NISAR,NISAR_L2_PR_GSLC_004_117_A_170_2005_DHDH_A_20251106T084443_20251106T084518_X05009_N_F_J_001,GSLC,ASCENDING,117,1427,170,2025-11-06T08:44:43Z,2025-11-06T08:45:18Z,NISAR_L2_PR_GSLC_004_117_A_170_2005_DHDH_A_20251106T084443_20251106T084518_X05009_N_F_J_001
feature_0_part_1_split_1,0,NISAR,NISAR,NISAR_L2_PR_GSLC_004_117_A_171_2005_DHDH_A_20251106T084517_20251106T084551_X05009_N_F_J_001,GSLC,ASCENDING,117,1427,171,2025-11-06T08:45:17Z,2025-11-06T08:45:51Z,NISAR_L2_PR_GSLC_004_117_A_171_2005_DHDH_A_20251106T084517_20251106T084551_X05009_N_F_J_001
feature_0_part_1_split_1,0,NISAR,NISAR,NISAR_L2_PR_GSLC_004_117_A_172_2005_DHDH_A_20251106T084550_20251106T084625_X05009_N_F_J_001,GSLC,ASCENDING,117,1427,172,2025-11-06T08:45:50Z,2025-11-06T08:46:25Z,NISAR_L2_PR_GSLC_004_117_A_172_2005_DHDH_A_20251106T084550_20251106T084625_X05009_N_F_J_001
feature_0_part_1_split_1,0,NISAR,NISAR,NISAR_L2_PR_GSLC_004_117_A_173_2005_DHDH_A_20251106T084624_20251106T084658_X05009_N_F_J_001,GSLC,ASCENDING,117,1427,173,2025-11-06T08:46:24Z,2025-11-06T08:46:58Z,NISAR_L2_PR_GSLC_004_117_A_173_2005_DHDH_A_20251106T084624_20251106T084658_X05009_N_F_J_001
feature_0_part_1_split_1,0,NISAR,NISAR,NISAR_L2_PR_GSLC_004_117_A_174_2005_DHDH_A_20251106T084657_20251106T084732_X05009_N_F_J_001,GSLC,ASCENDING,117,1427,174,2025-11-06T08:46:57Z,2025-11-06T08:47:32Z,NISAR_L2_PR_GSLC_004_117_A_174_2005_DHDH_A_20251106T084657_20251106T084732_X05009_N_F_J_001
feature_0_part_1_split_1,0,NISAR,NISAR,NISAR_L2_PR_GSLC_004_117_A_175_2005_DHDH_A_20251106T084731_20251106T084805_X05009_N_F_J_001,GSLC,ASCENDING,117,1427,175,2025-11-06T08:47:31Z,2025-11-06T08:48:05Z,NISAR_L2_PR_GSLC_004_117_A_175_2005_DHDH_A_20251106T084731_20251106T084805_X05009_N_F_J_001
feature_0_part_1_split_1,0,NISAR,NISAR,NISAR_L2_PR_GSLC_005_045_A_174_2005_DHDH_A_20251113T085515_20251113T085551_X05009_N_F_J_001,GSLC,ASCENDING,45,1528,174,2025-11-13T08:55:15Z,2025-11-13T08:55:51Z,NISAR_L2_PR_GSLC_005_045_A_174_2005_DHDH_A_20251113T085515_20251113T085551_X05009_N_F_J_001
feature_0_part_1_split_1,0,NISAR,NISAR,NISAR_L2_PR_GSLC_005_045_A_173_2005_DHDH_A_20251113T085515_20251113T085518_X05010_N_P_J_001,GSLC,ASCENDING,45,1528,173,2025-11-13T08:55:15Z,2025-11-13T08:55:18Z,NISAR_L2_PR_GSLC_005_045_A_173_2005_DHDH_A_20251113T085515_20251113T085518_X05010_N_P_J_001
feature_0_part_1_split_1,0,NISAR,NISAR,NISAR_L2_PR_GSLC_005_045_A_175_2005_DHDH_A_20251113T085550_20251113T085625_X05009_N_F_J_001,GSLC,ASCENDING,45,1528,175,2025-11-13T08:55:50Z,2025-11-13T08:56:25Z,NISAR_L2_PR_GSLC_005_045_A_175_2005_DHDH_A_20251113T085550_20251113T085625_X05009_N_F_J_001
feature_0_part_1_split_1,0,NISAR,NISAR,NISAR_L2_PR_GSLC_005_082_D_094_2005_DHDH_A_20251115T214527_20251115T214601_X05009_N_F_J_001,GSLC,DESCENDING,82,1565,94,2025-11-15T21:45:27Z,2025-11-15T21:46:01Z,NISAR_L2_PR_GSLC_005_082_D_094_2005_DHDH_A_20251115T214527_20251115T214601_X05009_N_F_J_001
feature_0_part_1_split_1,0,NISAR,NISAR,NISAR_L2_PR_GSLC_005_082_D_095_2005_DHDH_A_20251115T214600_20251115T214635_X05009_N_F_J_001,GSLC,DESCENDING,82,1565,95,2025-11-15T21:46:00Z,2025-11-15T21:46:35Z,NISAR_L2_PR_GSLC_005_082_D_095_2005_DHDH_A_20251115T214600_20251115T214635_X05009_N_F_J_001
feature_0_part_1_split_1,0,NISAR,NISAR,NISAR_L2_PR_GSLC_005_082_D_096_2005_DHDH_A_20251115T214634_20251115T214708_X05009_N_F_J_001,GSLC,DESCENDING,82,1565,96,2025-11-15T21:46:34Z,2025-11-15T21:47:08Z,NISAR_L2_PR_GSLC_005_082_D_096_2005_DHDH_A_20251115T214634_20251115T214708_X05009_N_F_J_001
feature_0_part_1_split_1,0,NISAR,NISAR,NISAR_L2_PR_GSLC_005_082_D_097_2005_DHDH_A_20251115T214707_20251115T214742_X05009_N_F_J_001,GSLC,DESCENDING,82,1565,97,2025-11-15T21:47:07Z,2025-11-15T21:47:42Z,NISAR_L2_PR_GSLC_005_082_D_097_2005_DHDH_A_20251115T214707_20251115T214742_X05009_N_F_J_001
feature_0_part_1_split_1,0,NISAR,NISAR,NISAR_L2_PR_GSLC_005_088_A_174_2005_DHDH_A_20251116T083019_20251116T083053_P05023_N_F_J_001,GSLC,ASCENDING,88,1571,174,2025-11-16T08:30:19Z,2025-11-16T08:30:53Z,NISAR_L2_PR_GSLC_005_088_A_174_2005_DHDH_A_20251116T083019_20251116T083053_P05023_N_F_J_001
feature_0_part_1_split_1,0,NISAR,NISAR,NISAR_L2_PR_GSLC_005_140_D_094_2005_SHSH_A_20251119T221845_20251119T221919_X05009_N_F_J_001,GSLC,DESCENDING,140,1623,94,2025-11-19T22:18:45Z,2025-11-19T22:19:19Z,NISAR_L2_PR_GSLC_005_140_D_094_2005_SHSH_A_20251119T221845_20251119T221919_X05009_N_F_J_001
feature_0_part_1_split_1,0,NISAR,NISAR,NISAR_L2_PR_GSLC_005_140_D_095_2005_SHSH_A_20251119T221918_20251119T221953_X05009_N_F_J_001,GSLC,DESCENDING,140,1623,95,2025-11-19T22:19:18Z,2025-11-19T22:19:53Z,NISAR_L2_PR_GSLC_005_140_D_095_2005_SHSH_A_20251119T221918_20251119T221953_X05009_N_F_J_001
feature_0_part_1_split_1,0,NISAR,NISAR,NISAR_L2_PR_GSLC_005_146_A_172_2005_DHDH_A_20251120T090229_20251120T090304_X05009_N_F_J_001,GSLC,ASCENDING,146,1629,172,2025-11-20T09:02:29Z,2025-11-20T09:03:04Z,NISAR_L2_PR_GSLC_005_146_A_172_2005_DHDH_A_20251120T090229_20251120T090304_X05009_N_F_J_001
feature_0_part_1_split_1,0,NISAR,NISAR,NISAR_L2_PR_GSLC_005_146_A_173_2005_DHDH_A_20251120T090303_20251120T090337_X05009_N_F_J_001,GSLC,ASCENDING,146,1629,173,2025-11-20T09:03:03Z,2025-11-20T09:03:37Z,NISAR_L2_PR_GSLC_005_146_A_173_2005_DHDH_A_20251120T090303_20251120T090337_X05009_N_F_J_001
feature_0_part_1_split_1,0,NISAR,NISAR,NISAR_L2_PR_GSLC_005_146_A_174_2005_DHDH_A_20251120T090336_20251120T090411_X05009_N_F_J_001,GSLC,ASCENDING,146,1629,174,2025-11-20T09:03:36Z,2025-11-20T09:04:11Z,NISAR_L2_PR_GSLC_005_146_A_174_2005_DHDH_A_20251120T090336_20251120T090411_X05009_N_F_J_001
feature_0_part_1_split_1,0,NISAR,NISAR,NISAR_L2_PR_GSLC_006_045_A_174_2005_DHDH_A_20251125T085516_20251125T085552_X05009_N_F_J_001,GSLC,ASCENDING,45,1701,174,2025-11-25T08:55:16Z,2025-11-25T08:55:52Z,NISAR_L2_PR_GSLC_006_045_A_174_2005_DHDH_A_20251125T085516_20251125T085552_X05009_N_F_J_001
feature_0_part_1_split_1,0,NISAR,NISAR,NISAR_L2_PR_GSLC_006_045_A_175_2005_DHDH_A_20251125T085551_20251125T085625_X05009_N_F_J_001,GSLC,ASCENDING,45,1701,175,2025-11-25T08:55:51Z,2025-11-25T08:56:25Z,NISAR_L2_PR_GSLC_006_045_A_175_2005_DHDH_A_20251125T085551_20251125T085625_X05009_N_F_J_001
feature_0_part_1_split_1,0,NISAR,NISAR,NISAR_L2_PR_GSLC_006_088_A_174_2005_DHDH_A_20251128T083019_20251128T083054_P05023_N_F_J_001,GSLC,ASCENDING,88,1744,174,2025-11-28T08:30:19Z,2025-11-28T08:30:54Z,NISAR_L2_PR_GSLC_006_088_A_174_2005_DHDH_A_20251128T083019_20251128T083054_P05023_N_F_J_001
feature_0_part_1_split_1,0,NISAR,NISAR,NISAR_L2_PR_GSLC_006_117_A_170_2005_DHDH_A_20251130T084444_20251130T084518_X05010_F_F_J_001,GSLC,ASCENDING,117,1773,170,2025-11-30T08:44:44Z,2025-11-30T08:45:18Z,NISAR_L2_PR_GSLC_006_117_A_170_2005_DHDH_A_20251130T084444_20251130T084518_X05010_F_F_J_001
feature_0_part_1_split_1,0,NISAR,NISAR,NISAR_L2_PR_GSLC_006_117_A_171_2005_DHDH_A_20251130T084517_20251130T084552_X05010_F_F_J_001,GSLC,ASCENDING,117,1773,171,2025-11-30T08:45:17Z,2025-11-30T08:45:52Z,NISAR_L2_PR_GSLC_006_117_A_171_2005_DHDH_A_20251130T084517_20251130T084552_X05010_F_F_J_001
feature_0_part_1_split_1,0,NISAR,NISAR,NISAR_L2_PR_GSLC_006_117_A_172_2005_DHDH_A_20251130T084551_20251130T084625_X05010_F_F_J_001,GSLC,ASCENDING,117,1773,172,2025-11-30T08:45:51Z,2025-11-30T08:46:25Z,NISAR_L2_PR_GSLC_006_117_A_172_2005_DHDH_A_20251130T084551_20251130T084625_X05010_F_F_J_001
feature_0_part_1_split_1,0,NISAR,NISAR,NISAR_L2_PR_GSLC_006_117_A_173_2005_DHDH_A_20251130T084624_20251130T084659_X05010_F_F_J_001,GSLC,ASCENDING,117,1773,173,2025-11-30T08:46:24Z,2025-11-30T08:46:59Z,NISAR_L2_PR_GSLC_006_117_A_173_2005_DHDH_A_20251130T084624_20251130T084659_X05010_F_F_J_001
feature_0_part_1_split_1,0,NISAR,NISAR,NISAR_L2_PR_GSLC_006_117_A_174_2005_DHDH_A_20251130T084658_20251130T084732_X05010_F_F_J_001,GSLC,ASCENDING,117,1773,174,2025-11-30T08:46:58Z,2025-11-30T08:47:32Z,NISAR_L2_PR_GSLC_006_117_A_174_2005_DHDH_A_20251130T084658_20251130T084732_X05010_F_F_J_001
