orbit_key,track,frame,mode,product_name,start_datetime,end_datetime,repeat_cycle,orbit_state,feature_index,polygon_name,kml_url,output_kml
SCS_T006_F289,T006,F289,SCS,BIO_S1_SCS__1S_20260228T095234_20260228T095255_T_G01_M02_C07_T006_F289_01_DNK4YR,2026-02-28T09:52:34.696Z,2026-02-28T09:52:55.103Z,7,ASCENDING,0,feature_0_part_1,https://catalog.maap.eo.esa.int/data/biomass-pdgs-01/BiomassLevel1a/2026/02/28/BIO_S1_SCS__1S_20260228T095234_20260228T095255_T_G01_M02_C07_T006_F289_01_DNK4YR/BIO_S1_SCS__1S_20260228T095234_20260228T095255_T_G01_M02_C07_T006_F289_01_DNK4YR/preview/bio_s1_scs__1s_20260228t095234_20260228t095255_t_g01_m02_c07_t006_f289_map.kml,C:\Users\jales\Documents\GitHub\thesis_code\datasets\biomass_orbits\SCS_T006_F289.kml
SCS_T006_F290,T006,F290,SCS,BIO_S3_SCS__1S_20260330T095314_20260330T095334_T_G01_M02_C03_T006_F290_01_DP3OYR,2026-03-30T09:53:14.013Z,2026-03-30T09:53:34.418Z,3,ASCENDING,0,feature_0_part_1,https://catalog.maap.eo.esa.int/data/biomass-pdgs-01/BiomassLevel1a/2026/03/30/BIO_S3_SCS__1S_20260330T095314_20260330T095334_T_G01_M02_C03_T006_F290_01_DP3OYR/BIO_S3_SCS__1S_20260330T095314_20260330T095334_T_G01_M02_C03_T006_F290_01_DP3OYR/preview/bio_s3_scs__1s_20260330t095314_20260330t095334_t_g01_m02_c03_t006_f290_map.kml,C:\Users\jales\Documents\GitHub\thesis_code\datasets\biomass_orbits\SCS_T006_F290.kml
SCS_T006_F291,T006,F291,SCS,BIO_S3_SCS__1S_20260330T095333_20260330T095353_T_G01_M02_C03_T006_F291_01_DP3OEA,2026-03-30T09:53:33.031Z,2026-03-30T09:53:53.436Z,3,ASCENDING,0,feature_0_part_1,https://catalog.maap.eo.esa.int/data/biomass-pdgs-01/BiomassLevel1a/2026/03/30/BIO_S3_SCS__1S_20260330T095333_20260330T095353_T_G01_M02_C03_T006_F291_01_DP3OEA/BIO_S3_SCS__1S_20260330T095333_20260330T095353_T_G01_M02_C03_T006_F291_01_DP3OEA/preview/bio_s3_scs__1s_20260330t095333_20260330t095353_t_g01_m02_c03_t006_f291_map.kml,C:\Users\jales\Documents\GitHub\thesis_code\datasets\biomass_orbits\SCS_T006_F291.kml
SCS_T006_F292,T006,F292,SCS,BIO_S3_SCS__1S_20260330T095352_20260330T095412_T_G01_M02_C03_T006_F292_01_DP3OMT,2026-03-30T09:53:52.053Z,2026-03-30T09:54:12.456Z,3,ASCENDING,0,feature_0_part_1,https://catalog.maap.eo.esa.int/data/biomass-pdgs-01/BiomassLevel1a/2026/03/30/BIO_S3_SCS__1S_20260330T095352_20260330T095412_T_G01_M02_C03_T006_F292_01_DP3OMT/BIO_S3_SCS__1S_20260330T095352_20260330T095412_T_G01_M02_C03_T006_F292_01_DP3OMT/preview/bio_s3_scs__1s_20260330t095352_20260330t095412_t_g01_m02_c03_t006_f292_map.kml,C:\Users\jales\Documents\GitHub\thesis_code\datasets\biomass_orbits\SCS_T006_F292.kml
SCS_T006_F293,T006,F293,SCS,BIO_S3_SCS__1S_20260330T095411_20260330T095431_T_G01_M02_C03_T006_F293_01_DP3OL3,2026-03-30T09:54:11.072Z,2026-03-30T09:54:31.474Z,3,ASCENDING,0,feature_0_part_1,https://catalog.maap.eo.esa.int/data/biomass-pdgs-01/BiomassLevel1a/2026/03/30/BIO_S3_SCS__1S_20260330T095411_20260330T095431_T_G01_M02_C03_T006_F293_01_DP3OL3/BIO_S3_SCS__1S_20260330T095411_20260330T095431_T_G01_M02_C03_T006_F293_01_DP3OL3/preview/bio_s3_scs__1s_20260330t095411_20260330t095431_t_g01_m02_c03_t006_f293_map.kml,C:\Users\jales\Documents\GitHub\thesis_code\datasets\biomass_orbits\SCS_T006_F293.kml
SCS_T006_F294,T006,F294,SCS,BIO_S3_SCS__1S_20260330T095430_20260330T095450_T_G01_M02_C03_T006_F294_01_DP3O7S,2026-03-30T09:54:30.089Z,2026-03-30T09:54:50.491Z,3,ASCENDING,0,feature_0_part_1,https://catalog.maap.eo.esa.int/data/biomass-pdgs-01/BiomassLevel1a/2026/03/30/BIO_S3_SCS__1S_20260330T095430_20260330T095450_T_G01_M02_C03_T006_F294_01_DP3O7S/BIO_S3_SCS__1S_20260330T095430_20260330T095450_T_G01_M02_C03_T006_F294_01_DP3O7S/preview/bio_s3_scs__1s_20260330t095430_20260330t095450_t_g01_m02_c03_t006_f294_map.kml,C:\Users\jales\Documents\GitHub\thesis_code\datasets\biomass_orbits\SCS_T006_F294.kml
SCS_T006_F295,T006,F295,SCS,BIO_S3_SCS__1S_20260330T095449_20260330T095509_T_G01_M02_C03_T006_F295_01_DP3OAD,2026-03-30T09:54:49.106Z,2026-03-30T09:55:09.506Z,3,ASCENDING,0,feature_0_part_1,https://catalog.maap.eo.esa.int/data/biomass-pdgs-01/BiomassLevel1a/2026/03/30/BIO_S3_SCS__1S_20260330T095449_20260330T095509_T_G01_M02_C03_T006_F295_01_DP3OAD/BIO_S3_SCS__1S_20260330T095449_20260330T095509_T_G01_M02_C03_T006_F295_01_DP3OAD/preview/bio_s3_scs__1s_20260330t095449_20260330t095509_t_g01_m02_c03_t006_f295_map.kml,C:\Users\jales\Documents\GitHub\thesis_code\datasets\biomass_orbits\SCS_T006_F295.kml
SCS_T006_F296,T006,F296,SCS,BIO_S3_SCS__1S_20260330T095508_20260330T095528_T_G01_M02_C03_T006_F296_01_DP3O9S,2026-03-30T09:55:08.121Z,2026-03-30T09:55:28.521Z,3,ASCENDING,0,feature_0_part_1,https://catalog.maap.eo.esa.int/data/biomass-pdgs-01/BiomassLevel1a/2026/03/30/BIO_S3_SCS__1S_20260330T095508_20260330T095528_T_G01_M02_C03_T006_F296_01_DP3O9S/BIO_S3_SCS__1S_20260330T095508_20260330T095528_T_G01_M02_C03_T006_F296_01_DP3O9S/preview/bio_s3_scs__1s_20260330t095508_20260330t095528_t_g01_m02_c03_t006_f296_map.kml,C:\Users\jales\Documents\GitHub\thesis_code\datasets\biomass_orbits\SCS_T006_F296.kml
SCS_T006_F297,T006,F297,SCS,BIO_S3_SCS__1S_20260330T095527_20260330T095547_T_G01_M02_C03_T006_F297_01_DP3OCH,2026-03-30T09:55:27.136Z,2026-03-30T09:55:47.535Z,3,ASCENDING,0,feature_0_part_1,https://catalog.maap.eo.esa.int/data/biomass-pdgs-01/BiomassLevel1a/2026/03/30/BIO_S3_SCS__1S_20260330T095527_20260330T095547_T_G01_M02_C03_T006_F297_01_DP3OCH/BIO_S3_SCS__1S_20260330T095527_20260330T095547_T_G01_M02_C03_T006_F297_01_DP3OCH/preview/bio_s3_scs__1s_20260330t095527_20260330t095547_t_g01_m02_c03_t006_f297_map.kml,C:\Users\jales\Documents\GitHub\thesis_code\datasets\biomass_orbits\SCS_T006_F297.kml
SCS_T006_F298,T006,F298,SCS,BIO_S3_SCS__1S_20260330T095546_20260330T095606_T_G01_M02_C03_T006_F298_01_DP3O5X,2026-03-30T09:55:46.150Z,2026-03-30T09:56:06.547Z,3,ASCENDING,0,feature_0_part_1,https://catalog.maap.eo.esa.int/data/biomass-pdgs-01/BiomassLevel1a/2026/03/30/BIO_S3_SCS__1S_20260330T095546_20260330T095606_T_G01_M02_C03_T006_F298_01_DP3O5X/BIO_S3_SCS__1S_20260330T095546_20260330T095606_T_G01_M02_C03_T006_F298_01_DP3O5X/preview/bio_s3_scs__1s_20260330t095546_20260330t095606_t_g01_m02_c03_t006_f298_map.kml,C:\Users\jales\Documents\GitHub\thesis_code\datasets\biomass_orbits\SCS_T006_F298.kml
