orbit_key,dataset,collection,product_type,mode,orbit_state,track,track_number,frame,frame_number,scene_count,unique_footprints,repeat_cycles,absolute_orbits,first_start_time,last_stop_time,example_scene
SCS_T006_F289,BIOMASS,BiomassLevel1a,S1_SCS__1S,SCS,ASCENDING,T006,6,F289,289,31,15,"1,2,3,4,5,6,7","3022,3066,3110,3154,4210,4254,4298,4342,4386,4430,4474",2025-11-21T09:47:39.612Z,2026-02-28T09:52:55.103Z,BIO_S1_SCS__1S_20251124T094741_20251124T094802_T_G01_M01_C02_T006_F289_01_DK5QKT
SCS_T006_F290,BIOMASS,BiomassLevel1a,S1_SCS__1S,SCS,ASCENDING,T006,6,F290,290,84,41,"1,10,2,3,4,5,6,7,8,9","3022,3066,3110,3154,3330,3374,3418,3462,3506,3550,3594,3638,3682,3770,3814,3858,3902,3946,3990,4034,4210,4254,4298,4342,4386,4430,4474,4518,4562,4606,4650,4694,4738,4782,4826,4870,4914",2025-11-21T09:47:58.633Z,2026-03-30T09:53:34.418Z,BIO_S1_SCS__1M_20251130T094804_20251130T094825_T_G01_M01_C04_T006_F290_01_DKPI8N
SCS_T006_F291,BIOMASS,BiomassLevel1a,S1_SCS__1S,SCS,ASCENDING,T006,6,F291,291,86,42,"1,10,2,3,4,5,6,7,8,9","3022,3066,3110,3154,3330,3374,3418,3462,3506,3550,3594,3638,3682,3770,3814,3858,3902,3946,3990,4034,4210,4254,4298,4342,4386,4430,4474,4518,4562,4606,4650,4694,4738,4782,4826,4870,4914",2025-11-21T09:48:17.651Z,2026-03-30T09:53:53.436Z,BIO_S1_SCS__1M_20251130T094823_20251130T094844_T_G01_M01_C04_T006_F291_01_DKPI2J
SCS_T006_F292,BIOMASS,BiomassLevel1a,S1_SCS__1S,SCS,ASCENDING,T006,6,F292,292,86,42,"1,10,2,3,4,5,6,7,8,9","3022,3066,3110,3154,3330,3374,3418,3462,3506,3550,3594,3638,3682,3770,3814,3858,3902,3946,3990,4034,4210,4254,4298,4342,4386,4430,4474,4518,4562,4606,4650,4694,4738,4782,4826,4870,4914",2025-11-21T09:48:36.670Z,2026-03-30T09:54:12.456Z,BIO_S1_SCS__1M_20251130T094842_20251130T094903_T_G01_M01_C04_T006_F292_01_DKPI6T
SCS_T006_F293,BIOMASS,BiomassLevel1a,S1_SCS__1S,SCS,ASCENDING,T006,6,F293,293,86,42,"1,10,2,3,4,5,6,7,8,9","3022,3066,3110,3154,3330,3374,3418,3462,3506,3550,3594,3638,3682,3770,3814,3858,3902,3946,3990,4034,4210,4254,4298,4342,4386,4430,4474,4518,4562,4606,4650,4694,4738,4782,4826,4870,4914",2025-11-21T09:48:55.690Z,2026-03-30T09:54:31.474Z,BIO_S1_SCS__1S_20251124T094857_20251124T094918_T_G01_M01_C02_T006_F293_01_DK5Q3A
SCS_T006_F294,BIOMASS,BiomassLevel1a,S1_SCS__1S,SCS,ASCENDING,T006,6,F294,294,86,42,"1,10,2,3,4,5,6,7,8,9","3022,3066,3110,3154,3330,3374,3418,3462,3506,3550,3594,3638,3682,3770,3814,3858,3902,3946,3990,4034,4210,4254,4298,4342,4386,4430,4474,4518,4562,4606,4650,4694,4738,4782,4826,4870,4914",2025-11-21T09:49:14.707Z,2026-03-30T09:54:50.491Z,BIO_S1_SCS__1M_20251130T094920_20251130T094941_T_G01_M01_C04_T006_F294_01_DKPI87
SCS_T006_F295,BIOMASS,BiomassLevel1a,S1_SCS__1S,SCS,ASCENDING,T006,6,F295,295,85,42,"1,10,2,3,4,5,6,7,8,9","3022,3066,3110,3154,3330,3374,3418,3462,3506,3550,3594,3638,3682,3770,3814,3858,3902,3946,3990,4034,4210,4254,4298,4342,4386,4430,4474,4518,4562,4606,4650,4694,4738,4782,4826,4870,4914",2025-11-21T09:49:33.722Z,2026-03-30T09:55:09.506Z,BIO_S1_SCS__1S_20251130T094939_20251130T095000_T_G01_M01_C04_T006_F295_01_DKPHYY
SCS_T006_F296,BIOMASS,BiomassLevel1a,S1_SCS__1S,SCS,ASCENDING,T006,6,F296,296,87,43,"1,10,2,3,4,5,6,7,8,9","3022,3066,3110,3154,3330,3374,3418,3462,3506,3550,3594,3638,3682,3770,3814,3858,3902,3946,3990,4034,4210,4254,4298,4342,4386,4430,4474,4518,4562,4606,4650,4694,4738,4782,4826,4870,4914",2025-11-21T09:49:52.737Z,2026-03-30T09:55:28.521Z,BIO_S1_SCS__1S_20251130T094958_20251130T095019_T_G01_M01_C04_T006_F296_01_DKPHQA
SCS_T006_F297,BIOMASS,BiomassLevel1a,S1_SCS__1S,SCS,ASCENDING,T006,6,F297,297,85,42,"1,10,2,3,4,5,6,7,8,9","3022,3066,3110,3154,3330,3374,3418,3462,3506,3550,3594,3638,3682,3770,3814,3858,3902,3946,3990,4034,4210,4254,4298,4342,4386,4430,4474,4518,4562,4606,4650,4694,4738,4782,4826,4870,4914",2025-11-21T09:50:11.751Z,2026-03-30T09:55:47.535Z,BIO_S2_SCS__1S_20251212T095024_20251212T095045_T_G01_M01_C01_T006_F297_01_DJJI69
SCS_T006_F298,BIOMASS,BiomassLevel1a,S1_SCS__1S,SCS,ASCENDING,T006,6,F298,298,86,42,"1,10,2,3,4,5,6,7,8,9","3022,3066,3110,3154,3330,3374,3418,3462,3506,3550,3594,3638,3682,3770,3814,3858,3902,3946,3990,4034,4210,4254,4298,4342,4386,4430,4474,4518,4562,4606,4650,4694,4738,4782,4826,4870,4914",2025-11-21T09:50:30.765Z,2026-03-30T09:56:06.547Z,BIO_S1_SCS__1M_20251124T095032_20251124T095053_T_G01_M01_C02_T006_F298_01_DK5T37
