scene_id,product_name,collection,mode,track,frame,start_datetime,end_datetime,repeat_cycle,orbit_state,raw_properties
BIO_S1_SCS__1S_20251121T094836_20251121T094857_T_G01_M01_C01_T006_F292_01_DJUQIZ,BIO_S1_SCS__1S_20251121T094836_20251121T094857_T_G01_M01_C01_T006_F292_01_DJUQIZ,BiomassLevel1a,SCS,T006,F292,2025-11-21T09:48:36.670Z,2025-11-21T09:48:57.465Z,1,ASCENDING,"{""processing:facility"": ""Biomass CPF"", ""product:type"": ""S1_SCS__1S"", ""eofeos:global_coverage_id"": ""1"", ""sat:anx_datetime"": ""2025-11-21T08:16:26.831Z"", ""platform"": ""Biomass"", ""eofeos:major_cycle_id"": ""1"", ""datetime"": ""2025-11-21T09:48:36.670Z"", ""instruments"": [""P-SAR""], ""constellation"": ""Biomass"", ""storage:schemes"": {""biomass-pdgs-01"": {""bucket"": ""biomass-pdgs-01"", ""description"": ""This endpoint provides access to EO data which is stored on the object storage of the ESA MAAP. See the [documentation](https://portal.maap.eo.esa.int/dataaccess/) for more information, including how to get credentials."", ""type"": ""custom-s3"", ""title"": ""ESA MAAP S3"", ""region"": ""gra"", ""platform"": ""https://{bucket}.s3.{region}.io.cloud.ovh.net""}}, ""eopf:datatake_id"": ""24761546"", ""processing:software"": {""Biomass L1 Processor"": ""4.2.2""}, ""eopf:instrument_configuration_id"": 0, ""grid:code"": ""WRS-6-292"", ""processing:level"": ""L1A"", ""proj:code"": ""EPSG:4326"", ""sci:doi"": ""10.57780/bio-bef83b4"", ""created"": ""2025-12-18T21:04:11Z"", ""published"": ""2025-11-21T09:48:57.465Z"", ""version"": ""01"", ""sar:observation_direction"": ""left"", ""sar:polarizations"": [""HH"", ""HV"", ""VH"", ""VV""], ""auth:schemes"": {""s3"": {""type"": ""s3""}, ""oidc"": {""openIdConnectUrl"": ""https://iam.ascend.icsgate.eu/realms/esa-maap/.well-known/openid-configuration"", ""type"": ""openIdConnect""}}, ""sar:instrument_mode"": ""SM"", ""eofeos:orbit_drift_flag"": false, ""processing:datetime"": ""2025-12-18T21:04:11Z"", ""eofeos:mission_phase"": ""TOMOGRAPHIC"", ""updated"": ""2026-05-17T09:23:25Z"", ""sat:absolute_orbit"": 3022, ""product:acquisition_type"": ""nominal""}"
BIO_S1_SCS__1S_20251121T094855_20251121T094916_T_G01_M01_C01_T006_F293_01_DJUQJS,BIO_S1_SCS__1S_20251121T094855_20251121T094916_T_G01_M01_C01_T006_F293_01_DJUQJS,BiomassLevel1a,SCS,T006,F293,2025-11-21T09:48:55.690Z,2025-11-21T09:49:16.485Z,1,ASCENDING,"{""processing:facility"": ""Biomass CPF"", ""product:type"": ""S1_SCS__1S"", ""eofeos:global_coverage_id"": ""1"", ""sat:anx_datetime"": ""2025-11-21T08:16:26.831Z"", ""platform"": ""Biomass"", ""eofeos:major_cycle_id"": ""1"", ""datetime"": ""2025-11-21T09:48:55.690Z"", ""instruments"": [""P-SAR""], ""constellation"": ""Biomass"", ""storage:schemes"": {""biomass-pdgs-01"": {""bucket"": ""biomass-pdgs-01"", ""description"": ""This endpoint provides access to EO data which is stored on the object storage of the ESA MAAP. See the [documentation](https://portal.maap.eo.esa.int/dataaccess/) for more information, including how to get credentials."", ""type"": ""custom-s3"", ""title"": ""ESA MAAP S3"", ""region"": ""gra"", ""platform"": ""https://{bucket}.s3.{region}.io.cloud.ovh.net""}}, ""eopf:datatake_id"": ""24761546"", ""processing:software"": {""Biomass L1 Processor"": ""4.2.2""}, ""eopf:instrument_configuration_id"": 0, ""grid:code"": ""WRS-6-293"", ""processing:level"": ""L1A"", ""proj:code"": ""EPSG:4326"", ""sci:doi"": ""10.57780/bio-bef83b4"", ""created"": ""2025-12-18T21:04:40Z"", ""published"": ""2025-11-21T09:49:16.485Z"", ""version"": ""01"", ""sar:observation_direction"": ""left"", ""sar:polarizations"": [""HH"", ""HV"", ""VH"", ""VV""], ""auth:schemes"": {""s3"": {""type"": ""s3""}, ""oidc"": {""openIdConnectUrl"": ""https://iam.ascend.icsgate.eu/realms/esa-maap/.well-known/openid-configuration"", ""type"": ""openIdConnect""}}, ""sar:instrument_mode"": ""SM"", ""eofeos:orbit_drift_flag"": false, ""processing:datetime"": ""2025-12-18T21:04:40Z"", ""eofeos:mission_phase"": ""TOMOGRAPHIC"", ""updated"": ""2026-05-17T09:23:25Z"", ""sat:absolute_orbit"": 3022, ""product:acquisition_type"": ""nominal""}"
BIO_S1_SCS__1S_20251203T094922_20251203T094943_T_G01_M01_C05_T006_F294_01_DO37Y9,BIO_S1_SCS__1S_20251203T094922_20251203T094943_T_G01_M01_C05_T006_F294_01_DO37Y9,BiomassLevel1a,SCS,T006,F294,2025-12-03T09:49:22.694Z,2025-12-03T09:49:43.095Z,5,ASCENDING,"{""processing:facility"": ""Biomass CPF"", ""product:type"": ""S1_SCS__1S"", ""eofeos:global_coverage_id"": ""1"", ""sat:anx_datetime"": ""2025-12-03T08:16:34.609Z"", ""platform"": ""Biomass"", ""eofeos:major_cycle_id"": ""1"", ""datetime"": ""2025-12-03T09:49:22.694Z"", ""instruments"": [""P-SAR""], ""constellation"": ""Biomass"", ""storage:schemes"": {""biomass-pdgs-01"": {""bucket"": ""biomass-pdgs-01"", ""description"": ""This endpoint provides access to EO data which is stored on the object storage of the ESA MAAP. See the [documentation](https://portal.maap.eo.esa.int/dataaccess/) for more information, including how to get credentials."", ""type"": ""custom-s3"", ""title"": ""ESA MAAP S3"", ""region"": ""gra"", ""platform"": ""https://{bucket}.s3.{region}.io.cloud.ovh.net""}}, ""eopf:datatake_id"": ""26203337"", ""processing:software"": {""Biomass L1 Processor"": ""4.3.1""}, ""eopf:instrument_configuration_id"": 0, ""grid:code"": ""WRS-6-294"", ""processing:level"": ""L1A"", ""proj:code"": ""EPSG:4326"", ""sci:doi"": ""10.57780/bio-bef83b4"", ""created"": ""2026-03-11T05:15:45Z"", ""published"": ""2025-12-03T09:49:43.095Z"", ""version"": ""01"", ""sar:observation_direction"": ""left"", ""sar:polarizations"": [""HH"", ""HV"", ""VH"", ""VV""], ""auth:schemes"": {""s3"": {""type"": ""s3""}, ""oidc"": {""openIdConnectUrl"": ""https://iam.ascend.icsgate.eu/realms/esa-maap/.well-known/openid-configuration"", ""type"": ""openIdConnect""}}, ""sar:instrument_mode"": ""SM"", ""eofeos:orbit_drift_flag"": false, ""processing:datetime"": ""2026-03-11T05:15:45Z"", ""eofeos:mission_phase"": ""TOMOGRAPHIC"", ""updated"": ""2026-05-17T10:19:55Z"", ""sat:absolute_orbit"": 3198, ""product:acquisition_type"": ""nominal""}"
BIO_S1_SCS__1S_20251121T094952_20251121T095013_T_G01_M01_C01_T006_F296_01_DJUQPI,BIO_S1_SCS__1S_20251121T094952_20251121T095013_T_G01_M01_C01_T006_F296_01_DJUQPI,BiomassLevel1a,SCS,T006,F296,2025-11-21T09:49:52.737Z,2025-11-21T09:50:13.529Z,1,ASCENDING,"{""processing:facility"": ""Biomass CPF"", ""product:type"": ""S1_SCS__1S"", ""eofeos:global_coverage_id"": ""1"", ""sat:anx_datetime"": ""2025-11-21T08:16:26.831Z"", ""platform"": ""Biomass"", ""eofeos:major_cycle_id"": ""1"", ""datetime"": ""2025-11-21T09:49:52.737Z"", ""instruments"": [""P-SAR""], ""constellation"": ""Biomass"", ""storage:schemes"": {""biomass-pdgs-01"": {""bucket"": ""biomass-pdgs-01"", ""description"": ""This endpoint provides access to EO data which is stored on the object storage of the ESA MAAP. See the [documentation](https://portal.maap.eo.esa.int/dataaccess/) for more information, including how to get credentials."", ""type"": ""custom-s3"", ""title"": ""ESA MAAP S3"", ""region"": ""gra"", ""platform"": ""https://{bucket}.s3.{region}.io.cloud.ovh.net""}}, ""eopf:datatake_id"": ""24761546"", ""processing:software"": {""Biomass L1 Processor"": ""4.2.2""}, ""eopf:instrument_configuration_id"": 0, ""grid:code"": ""WRS-6-296"", ""processing:level"": ""L1A"", ""proj:code"": ""EPSG:4326"", ""sci:doi"": ""10.57780/bio-bef83b4"", ""created"": ""2025-12-18T21:08:06Z"", ""published"": ""2025-11-21T09:50:13.529Z"", ""version"": ""01"", ""sar:observation_direction"": ""left"", ""sar:polarizations"": [""HH"", ""HV"", ""VH"", ""VV""], ""auth:schemes"": {""s3"": {""type"": ""s3""}, ""oidc"": {""openIdConnectUrl"": ""https://iam.ascend.icsgate.eu/realms/esa-maap/.well-known/openid-configuration"", ""type"": ""openIdConnect""}}, ""sar:instrument_mode"": ""SM"", ""eofeos:orbit_drift_flag"": false, ""processing:datetime"": ""2025-12-18T21:08:06Z"", ""eofeos:mission_phase"": ""TOMOGRAPHIC"", ""updated"": ""2026-05-17T09:23:26Z"", ""sat:absolute_orbit"": 3022, ""product:acquisition_type"": ""nominal""}"
BIO_S1_SCS__1S_20251206T095002_20251206T095022_T_G01_M01_C06_T006_F296_01_DO6DO5,BIO_S1_SCS__1S_20251206T095002_20251206T095022_T_G01_M01_C06_T006_F296_01_DO6DO5,BiomassLevel1a,SCS,T006,F296,2025-12-06T09:50:02.465Z,2025-12-06T09:50:22.863Z,6,ASCENDING,"{""processing:facility"": ""Biomass CPF"", ""product:type"": ""S1_SCS__1S"", ""eofeos:global_coverage_id"": ""1"", ""sat:anx_datetime"": ""2025-12-06T08:16:36.348Z"", ""platform"": ""Biomass"", ""eofeos:major_cycle_id"": ""1"", ""datetime"": ""2025-12-06T09:50:02.465Z"", ""instruments"": [""P-SAR""], ""constellation"": ""Biomass"", ""storage:schemes"": {""biomass-pdgs-01"": {""bucket"": ""biomass-pdgs-01"", ""description"": ""This endpoint provides access to EO data which is stored on the object storage of the ESA MAAP. See the [documentation](https://portal.maap.eo.esa.int/dataaccess/) for more information, including how to get credentials."", ""type"": ""custom-s3"", ""title"": ""ESA MAAP S3"", ""region"": ""gra"", ""platform"": ""https://{bucket}.s3.{region}.io.cloud.ovh.net""}}, ""eopf:datatake_id"": ""26563785"", ""processing:software"": {""Biomass L1 Processor"": ""4.3.1""}, ""eopf:instrument_configuration_id"": 0, ""grid:code"": ""WRS-6-296"", ""processing:level"": ""L1A"", ""proj:code"": ""EPSG:4326"", ""sci:doi"": ""10.57780/bio-bef83b4"", ""created"": ""2026-03-12T22:12:05Z"", ""published"": ""2025-12-06T09:50:22.863Z"", ""version"": ""01"", ""sar:observation_direction"": ""left"", ""sar:polarizations"": [""HH"", ""HV"", ""VH"", ""VV""], ""auth:schemes"": {""s3"": {""type"": ""s3""}, ""oidc"": {""openIdConnectUrl"": ""https://iam.ascend.icsgate.eu/realms/esa-maap/.well-known/openid-configuration"", ""type"": ""openIdConnect""}}, ""sar:instrument_mode"": ""SM"", ""eofeos:orbit_drift_flag"": false, ""processing:datetime"": ""2026-03-12T22:12:05Z"", ""eofeos:mission_phase"": ""TOMOGRAPHIC"", ""updated"": ""2026-05-17T10:26:54Z"", ""sat:absolute_orbit"": 3242, ""product:acquisition_type"": ""nominal""}"
BIO_S1_SCS__1S_20251121T095030_20251121T095051_T_G01_M01_C01_T006_F298_01_DNQLGF,BIO_S1_SCS__1S_20251121T095030_20251121T095051_T_G01_M01_C01_T006_F298_01_DNQLGF,BiomassLevel1a,SCS,T006,F298,2025-11-21T09:50:30.961Z,2025-11-21T09:50:51.359Z,1,ASCENDING,"{""processing:facility"": ""Biomass CPF"", ""product:type"": ""S1_SCS__1S"", ""eofeos:global_coverage_id"": ""1"", ""sat:anx_datetime"": ""2025-11-21T08:16:26.831Z"", ""platform"": ""Biomass"", ""eofeos:major_cycle_id"": ""1"", ""datetime"": ""2025-11-21T09:50:30.961Z"", ""instruments"": [""P-SAR""], ""constellation"": ""Biomass"", ""storage:schemes"": {""biomass-pdgs-01"": {""bucket"": ""biomass-pdgs-01"", ""description"": ""This endpoint provides access to EO data which is stored on the object storage of the ESA MAAP. See the [documentation](https://portal.maap.eo.esa.int/dataaccess/) for more information, including how to get credentials."", ""type"": ""custom-s3"", ""title"": ""ESA MAAP S3"", ""region"": ""gra"", ""platform"": ""https://{bucket}.s3.{region}.io.cloud.ovh.net""}}, ""eopf:datatake_id"": ""24761546"", ""processing:software"": {""Biomass L1 Processor"": ""4.3.1""}, ""eopf:instrument_configuration_id"": 0, ""grid:code"": ""WRS-6-298"", ""processing:level"": ""L1A"", ""proj:code"": ""EPSG:4326"", ""sci:doi"": ""10.57780/bio-bef83b4"", ""created"": ""2026-03-04T09:38:39Z"", ""published"": ""2025-11-21T09:50:51.359Z"", ""version"": ""01"", ""sar:observation_direction"": ""left"", ""sar:polarizations"": [""HH"", ""HV"", ""VH"", ""VV""], ""auth:schemes"": {""s3"": {""type"": ""s3""}, ""oidc"": {""openIdConnectUrl"": ""https://iam.ascend.icsgate.eu/realms/esa-maap/.well-known/openid-configuration"", ""type"": ""openIdConnect""}}, ""sar:instrument_mode"": ""SM"", ""eofeos:orbit_drift_flag"": false, ""processing:datetime"": ""2026-03-04T09:38:39Z"", ""eofeos:mission_phase"": ""TOMOGRAPHIC"", ""updated"": ""2026-05-17T09:23:27Z"", ""sat:absolute_orbit"": 3022, ""product:acquisition_type"": ""nominal""}"
BIO_S1_SCS__1S_20251206T095040_20251206T095100_T_G01_M01_C06_T006_F298_01_DO6DOZ,BIO_S1_SCS__1S_20251206T095040_20251206T095100_T_G01_M01_C06_T006_F298_01_DO6DOZ,BiomassLevel1a,SCS,T006,F298,2025-12-06T09:50:40.491Z,2025-12-06T09:51:00.888Z,6,ASCENDING,"{""processing:facility"": ""Biomass CPF"", ""product:type"": ""S1_SCS__1S"", ""eofeos:global_coverage_id"": ""1"", ""sat:anx_datetime"": ""2025-12-06T08:16:36.348Z"", ""platform"": ""Biomass"", ""eofeos:major_cycle_id"": ""1"", ""datetime"": ""2025-12-06T09:50:40.491Z"", ""instruments"": [""P-SAR""], ""constellation"": ""Biomass"", ""storage:schemes"": {""biomass-pdgs-01"": {""bucket"": ""biomass-pdgs-01"", ""description"": ""This endpoint provides access to EO data which is stored on the object storage of the ESA MAAP. See the [documentation](https://portal.maap.eo.esa.int/dataaccess/) for more information, including how to get credentials."", ""type"": ""custom-s3"", ""title"": ""ESA MAAP S3"", ""region"": ""gra"", ""platform"": ""https://{bucket}.s3.{region}.io.cloud.ovh.net""}}, ""eopf:datatake_id"": ""26563785"", ""processing:software"": {""Biomass L1 Processor"": ""4.3.1""}, ""eopf:instrument_configuration_id"": 0, ""grid:code"": ""WRS-6-298"", ""processing:level"": ""L1A"", ""proj:code"": ""EPSG:4326"", ""sci:doi"": ""10.57780/bio-bef83b4"", ""created"": ""2026-03-12T22:12:35Z"", ""published"": ""2025-12-06T09:51:00.888Z"", ""version"": ""01"", ""sar:observation_direction"": ""left"", ""sar:polarizations"": [""HH"", ""HV"", ""VH"", ""VV""], ""auth:schemes"": {""s3"": {""type"": ""s3""}, ""oidc"": {""openIdConnectUrl"": ""https://iam.ascend.icsgate.eu/realms/esa-maap/.well-known/openid-configuration"", ""type"": ""openIdConnect""}}, ""sar:instrument_mode"": ""SM"", ""eofeos:orbit_drift_flag"": false, ""processing:datetime"": ""2026-03-12T22:12:35Z"", ""eofeos:mission_phase"": ""TOMOGRAPHIC"", ""updated"": ""2026-05-17T10:26:55Z"", ""sat:absolute_orbit"": 3242, ""product:acquisition_type"": ""nominal""}"
BIO_S1_SCS__1S_20260210T095514_20260210T095535_T_G01_M02_C01_T006_F298_01_DMMPDA,BIO_S1_SCS__1S_20260210T095514_20260210T095535_T_G01_M02_C01_T006_F298_01_DMMPDA,BiomassLevel1a,SCS,T006,F298,2026-02-10T09:55:14.667Z,2026-02-10T09:55:35.064Z,1,ASCENDING,"{""processing:facility"": ""Biomass CPF"", ""product:type"": ""S1_SCS__1S"", ""eofeos:global_coverage_id"": ""1"", ""sat:anx_datetime"": ""2026-02-10T08:21:10.527Z"", ""platform"": ""Biomass"", ""eofeos:major_cycle_id"": ""2"", ""datetime"": ""2026-02-10T09:55:14.667Z"", ""instruments"": [""P-SAR""], ""constellation"": ""Biomass"", ""storage:schemes"": {""biomass-pdgs-01"": {""bucket"": ""biomass-pdgs-01"", ""description"": ""This endpoint provides access to EO data which is stored on the object storage of the ESA MAAP. See the [documentation](https://portal.maap.eo.esa.int/dataaccess/) for more information, including how to get credentials."", ""type"": ""custom-s3"", ""title"": ""ESA MAAP S3"", ""region"": ""gra"", ""platform"": ""https://{bucket}.s3.{region}.io.cloud.ovh.net""}}, ""eopf:datatake_id"": ""34493638"", ""processing:software"": {""Biomass L1 Processor"": ""4.3.1""}, ""eopf:instrument_configuration_id"": 0, ""grid:code"": ""WRS-6-298"", ""processing:level"": ""L1A"", ""proj:code"": ""EPSG:4326"", ""sci:doi"": ""10.57780/bio-bef83b4"", ""created"": ""2026-02-10T20:39:10Z"", ""published"": ""2026-02-10T09:55:35.064Z"", ""version"": ""01"", ""sar:observation_direction"": ""left"", ""sar:polarizations"": [""HH"", ""HV"", ""VH"", ""VV""], ""auth:schemes"": {""s3"": {""type"": ""s3""}, ""oidc"": {""openIdConnectUrl"": ""https://iam.ascend.icsgate.eu/realms/esa-maap/.well-known/openid-configuration"", ""type"": ""openIdConnect""}}, ""sar:instrument_mode"": ""SM"", ""eofeos:orbit_drift_flag"": false, ""processing:datetime"": ""2026-02-10T20:39:10Z"", ""eofeos:mission_phase"": ""TOMOGRAPHIC"", ""updated"": ""2026-05-17T12:38:13Z"", ""sat:absolute_orbit"": 4210, ""product:acquisition_type"": ""nominal""}"
BIO_S1_SCS__1S_20251121T095108_20251121T095129_T_G01_M01_C01_T006_F300_01_DNQLJC,BIO_S1_SCS__1S_20251121T095108_20251121T095129_T_G01_M01_C01_T006_F300_01_DNQLJC,BiomassLevel1a,SCS,T006,F300,2025-11-21T09:51:08.985Z,2025-11-21T09:51:29.380Z,1,ASCENDING,"{""processing:facility"": ""Biomass CPF"", ""product:type"": ""S1_SCS__1S"", ""eofeos:global_coverage_id"": ""1"", ""sat:anx_datetime"": ""2025-11-21T08:16:26.831Z"", ""platform"": ""Biomass"", ""eofeos:major_cycle_id"": ""1"", ""datetime"": ""2025-11-21T09:51:08.985Z"", ""instruments"": [""P-SAR""], ""constellation"": ""Biomass"", ""storage:schemes"": {""biomass-pdgs-01"": {""bucket"": ""biomass-pdgs-01"", ""description"": ""This endpoint provides access to EO data which is stored on the object storage of the ESA MAAP. See the [documentation](https://portal.maap.eo.esa.int/dataaccess/) for more information, including how to get credentials."", ""type"": ""custom-s3"", ""title"": ""ESA MAAP S3"", ""region"": ""gra"", ""platform"": ""https://{bucket}.s3.{region}.io.cloud.ovh.net""}}, ""eopf:datatake_id"": ""24761546"", ""processing:software"": {""Biomass L1 Processor"": ""4.3.1""}, ""eopf:instrument_configuration_id"": 0, ""grid:code"": ""WRS-6-300"", ""processing:level"": ""L1A"", ""proj:code"": ""EPSG:4326"", ""sci:doi"": ""10.57780/bio-bef83b4"", ""created"": ""2026-03-04T09:40:24Z"", ""published"": ""2025-11-21T09:51:29.380Z"", ""version"": ""01"", ""sar:observation_direction"": ""left"", ""sar:polarizations"": [""HH"", ""HV"", ""VH"", ""VV""], ""auth:schemes"": {""s3"": {""type"": ""s3""}, ""oidc"": {""openIdConnectUrl"": ""https://iam.ascend.icsgate.eu/realms/esa-maap/.well-known/openid-configuration"", ""type"": ""openIdConnect""}}, ""sar:instrument_mode"": ""SM"", ""eofeos:orbit_drift_flag"": false, ""processing:datetime"": ""2026-03-04T09:40:24Z"", ""eofeos:mission_phase"": ""TOMOGRAPHIC"", ""updated"": ""2026-05-17T09:23:28Z"", ""sat:absolute_orbit"": 3022, ""product:acquisition_type"": ""nominal""}"
BIO_S1_SCS__1S_20260213T095554_20260213T095615_T_G01_M02_C02_T006_F300_01_DMSAN5,BIO_S1_SCS__1S_20260213T095554_20260213T095615_T_G01_M02_C02_T006_F300_01_DMSAN5,BiomassLevel1a,SCS,T006,F300,2026-02-13T09:55:54.957Z,2026-02-13T09:56:15.352Z,2,ASCENDING,"{""processing:facility"": ""Biomass CPF"", ""product:type"": ""S1_SCS__1S"", ""eofeos:global_coverage_id"": ""1"", ""sat:anx_datetime"": ""2026-02-13T08:21:12.811Z"", ""platform"": ""Biomass"", ""eofeos:major_cycle_id"": ""2"", ""datetime"": ""2026-02-13T09:55:54.957Z"", ""instruments"": [""P-SAR""], ""constellation"": ""Biomass"", ""storage:schemes"": {""biomass-pdgs-01"": {""bucket"": ""biomass-pdgs-01"", ""description"": ""This endpoint provides access to EO data which is stored on the object storage of the ESA MAAP. See the [documentation](https://portal.maap.eo.esa.int/dataaccess/) for more information, including how to get credentials."", ""type"": ""custom-s3"", ""title"": ""ESA MAAP S3"", ""region"": ""gra"", ""platform"": ""https://{bucket}.s3.{region}.io.cloud.ovh.net""}}, ""eopf:datatake_id"": ""34854086"", ""processing:software"": {""Biomass L1 Processor"": ""4.3.1""}, ""eopf:instrument_configuration_id"": 0, ""grid:code"": ""WRS-6-300"", ""processing:level"": ""L1A"", ""proj:code"": ""EPSG:4326"", ""sci:doi"": ""10.57780/bio-bef83b4"", ""created"": ""2026-02-13T21:06:41Z"", ""published"": ""2026-02-13T09:56:15.352Z"", ""version"": ""01"", ""sar:observation_direction"": ""left"", ""sar:polarizations"": [""HH"", ""HV"", ""VH"", ""VV""], ""auth:schemes"": {""s3"": {""type"": ""s3""}, ""oidc"": {""openIdConnectUrl"": ""https://iam.ascend.icsgate.eu/realms/esa-maap/.well-known/openid-configuration"", ""type"": ""openIdConnect""}}, ""sar:instrument_mode"": ""SM"", ""eofeos:orbit_drift_flag"": false, ""processing:datetime"": ""2026-02-13T21:06:41Z"", ""eofeos:mission_phase"": ""TOMOGRAPHIC"", ""updated"": ""2026-05-17T12:45:38Z"", ""sat:absolute_orbit"": 4254, ""product:acquisition_type"": ""nominal""}"
