file_name,date,track,frame
BIO_S1_SCS__1S_20251124T094741_20251124T094802_T_G01_M01_C02_T006_F289_01_DK5QKT.zip,20251124,T006,F289
BIO_S1_SCS__1S_20251124T094741_20251124T094802_T_G01_M01_C02_T006_F289_01_DNH8TK.zip,20251124,T006,F289
BIO_S1_SCS__1S_20251124T094741_20251124T094802_T_G01_M01_C02_T006_F289_01_DNTKNW.zip,20251124,T006,F289
BIO_S1_SCS__1S_20251124T094800_20251124T094821_T_G01_M01_C02_T006_F290_01_DK5QLS.zip,20251124,T006,F290
BIO_S1_SCS__1S_20251124T094800_20251124T094821_T_G01_M01_C02_T006_F290_01_DNH8WF.zip,20251124,T006,F290
BIO_S1_SCS__1S_20251124T094800_20251124T094821_T_G01_M01_C02_T006_F290_01_DNTKNW.zip,20251124,T006,F290
BIO_S1_SCS__1S_20251124T094819_20251124T094840_T_G01_M01_C02_T006_F291_01_DK5Q5G.zip,20251124,T006,F291
BIO_S1_SCS__1S_20251124T094819_20251124T094840_T_G01_M01_C02_T006_F291_01_DNHFH2.zip,20251124,T006,F291
BIO_S1_SCS__1S_20251124T094819_20251124T094840_T_G01_M01_C02_T006_F291_01_DNTKB9.zip,20251124,T006,F291
BIO_S1_SCS__1S_20251124T094838_20251124T094859_T_G01_M01_C02_T006_F292_01_DK5Q4U.zip,20251124,T006,F292
BIO_S1_SCS__1S_20251124T094838_20251124T094859_T_G01_M01_C02_T006_F292_01_DNHFK8.zip,20251124,T006,F292
BIO_S1_SCS__1S_20251124T094838_20251124T094859_T_G01_M01_C02_T006_F292_01_DNTKAD.zip,20251124,T006,F292
BIO_S1_SCS__1S_20251124T094857_20251124T094918_T_G01_M01_C02_T006_F293_01_DK5Q3A.zip,20251124,T006,F293
BIO_S1_SCS__1S_20251124T094857_20251124T094918_T_G01_M01_C02_T006_F293_01_DNHFHM.zip,20251124,T006,F293
BIO_S1_SCS__1S_20251124T094857_20251124T094918_T_G01_M01_C02_T006_F293_01_DNTK5M.zip,20251124,T006,F293
BIO_S1_SCS__1S_20251124T094916_20251124T094937_T_G01_M01_C02_T006_F294_01_DK5Q5F.zip,20251124,T006,F294
BIO_S1_SCS__1S_20251124T094916_20251124T094937_T_G01_M01_C02_T006_F294_01_DNHFGP.zip,20251124,T006,F294
BIO_S1_SCS__1S_20251124T094916_20251124T094937_T_G01_M01_C02_T006_F294_01_DNTK5N.zip,20251124,T006,F294
BIO_S1_SCS__1S_20251124T094935_20251124T094956_T_G01_M01_C02_T006_F295_01_DK5Q3H.zip,20251124,T006,F295
BIO_S1_SCS__1S_20251124T094935_20251124T094956_T_G01_M01_C02_T006_F295_01_DNHFH6.zip,20251124,T006,F295
BIO_S1_SCS__1S_20251124T094935_20251124T094956_T_G01_M01_C02_T006_F295_01_DNTKB4.zip,20251124,T006,F295
BIO_S1_SCS__1S_20251124T094954_20251124T095015_T_G01_M01_C02_T006_F296_01_DK5T2M.zip,20251124,T006,F296
