poly_id,class,domain,sample,scene_time,scene_name
Gl_11_U_146,Gl,11,U,2026-07-09T21:10:30+00:00,NISAR_L2_PR_GSLC_025_024_D_091_2005_DHDH_A_20260709T211030_20260709T211104_P05023_N_F_J_001
Sv_06_B_67,Sv,06,B,2026-07-10T09:34:07+00:00,NISAR_L2_PR_GSLC_025_031_A_169_2005_DHDH_M_20260710T093407_20260710T093442_P05023_N_F_J_001
Fo_08_U_16,Fo,08,U,2026-07-11T08:51:23+00:00,NISAR_L2_PR_GSLC_025_045_A_167_2005_DHDH_M_20260711T085123_20260711T085158_P05023_N_F_J_001
Fo_08_W_15,Fo,08,W,2026-07-11T08:51:23+00:00,NISAR_L2_PR_GSLC_025_045_A_167_2005_DHDH_M_20260711T085123_20260711T085158_P05023_N_F_J_001
Fo_08_R_18,Fo,08,R,2026-07-11T08:51:57+00:00,NISAR_L2_PR_GSLC_025_045_A_168_2005_DHDH_A_20260711T085157_20260711T085231_P05023_N_F_J_001
Gl_03_W_115,Gl,03,W,2026-07-11T08:51:57+00:00,NISAR_L2_PR_GSLC_025_045_A_168_2005_DHDH_A_20260711T085157_20260711T085231_P05023_N_F_J_001
Gl_08_G_29,Gl,08,G,2026-07-11T08:51:57+00:00,NISAR_L2_PR_GSLC_025_045_A_168_2005_DHDH_A_20260711T085157_20260711T085231_P05023_N_F_J_001
Sv_03_R_113,Sv,03,R,2026-07-11T08:51:57+00:00,NISAR_L2_PR_GSLC_025_045_A_168_2005_DHDH_A_20260711T085157_20260711T085231_P05023_N_F_J_001
Sv_08_R_23,Sv,08,R,2026-07-11T08:51:57+00:00,NISAR_L2_PR_GSLC_025_045_A_168_2005_DHDH_A_20260711T085157_20260711T085231_P05023_N_F_J_001
Fo_08_G_19,Fo,08,G,2026-07-11T08:52:33+00:00,NISAR_L2_PR_GSLC_025_045_A_169_2005_DHDH_A_20260711T085233_20260711T085305_P05023_N_F_J_001
Gl_03_U_116,Gl,03,U,2026-07-11T08:52:33+00:00,NISAR_L2_PR_GSLC_025_045_A_169_2005_DHDH_A_20260711T085233_20260711T085305_P05023_N_F_J_001
Gl_08_R_28,Gl,08,R,2026-07-11T08:52:33+00:00,NISAR_L2_PR_GSLC_025_045_A_169_2005_DHDH_A_20260711T085233_20260711T085305_P05023_N_F_J_001
Sv_03_B_112,Sv,03,B,2026-07-11T08:52:33+00:00,NISAR_L2_PR_GSLC_025_045_A_169_2005_DHDH_A_20260711T085233_20260711T085305_P05023_N_F_J_001
Gl_08_W_25,Gl,08,W,2026-07-11T08:53:04+00:00,NISAR_L2_PR_GSLC_025_045_A_170_2005_DHDH_A_20260711T085304_20260711T085338_P05023_N_F_J_001
Fo_02_B_92,Fo,02,B,2026-07-11T21:27:42+00:00,NISAR_L2_PR_GSLC_025_053_D_092_2005_DHDH_A_20260711T212742_20260711T212816_P05023_N_F_J_001
Gl_02_G_104,Gl,02,G,2026-07-11T21:27:42+00:00,NISAR_L2_PR_GSLC_025_053_D_092_2005_DHDH_A_20260711T212742_20260711T212816_P05023_N_F_J_001
Fo_02_U_91,Fo,02,U,2026-07-11T21:28:15+00:00,NISAR_L2_PR_GSLC_025_053_D_093_2005_DHDH_A_20260711T212815_20260711T212850_P05023_N_F_J_001
Sv_02_U_96,Sv,02,U,2026-07-11T21:28:15+00:00,NISAR_L2_PR_GSLC_025_053_D_093_2005_DHDH_A_20260711T212815_20260711T212850_P05023_N_F_J_001
Sv_04_U_126,Sv,04,U,2026-07-13T09:08:35+00:00,NISAR_L2_PR_GSLC_025_074_A_168_2005_DHDH_M_20260713T090835_20260713T090910_P05023_N_F_J_001
Sv_04_W_125,Sv,04,W,2026-07-13T09:08:35+00:00,NISAR_L2_PR_GSLC_025_074_A_168_2005_DHDH_M_20260713T090835_20260713T090910_P05023_N_F_J_001
Fo_03_W_105,Fo,03,W,2026-07-13T09:09:07+00:00,NISAR_L2_PR_GSLC_025_074_A_169_4005_DHDH_A_20260713T090907_20260713T090944_P05023_N_F_J_001
Fo_01_U_31,Fo,01,U,2026-07-13T09:09:43+00:00,NISAR_L2_PR_GSLC_025_074_A_170_2005_DHDH_M_20260713T090943_20260713T091017_P05023_N_F_J_001
Fo_01_B_32,Fo,01,B,2026-07-13T09:10:16+00:00,NISAR_L2_PR_GSLC_025_074_A_171_2005_DHDH_A_20260713T091016_20260713T091051_P05023_N_F_J_001
Fo_07_B_47,Fo,07,B,2026-07-13T09:10:16+00:00,NISAR_L2_PR_GSLC_025_074_A_171_2005_DHDH_A_20260713T091016_20260713T091051_P05023_N_F_J_001
Fo_07_G_49,Fo,07,G,2026-07-13T09:10:16+00:00,NISAR_L2_PR_GSLC_025_074_A_171_2005_DHDH_A_20260713T091016_20260713T091051_P05023_N_F_J_001
Fo_07_R_48,Fo,07,R,2026-07-13T09:10:16+00:00,NISAR_L2_PR_GSLC_025_074_A_171_2005_DHDH_A_20260713T091016_20260713T091051_P05023_N_F_J_001
Gl_07_B_57,Gl,07,B,2026-07-13T09:10:16+00:00,NISAR_L2_PR_GSLC_025_074_A_171_2005_DHDH_A_20260713T091016_20260713T091051_P05023_N_F_J_001
Gl_07_R_58,Gl,07,R,2026-07-13T09:10:16+00:00,NISAR_L2_PR_GSLC_025_074_A_171_2005_DHDH_A_20260713T091016_20260713T091051_P05023_N_F_J_001
Sv_07_U_51,Sv,07,U,2026-07-13T09:10:16+00:00,NISAR_L2_PR_GSLC_025_074_A_171_2005_DHDH_A_20260713T091016_20260713T091051_P05023_N_F_J_001
Sv_07_W_50,Sv,07,W,2026-07-13T09:10:16+00:00,NISAR_L2_PR_GSLC_025_074_A_171_2005_DHDH_A_20260713T091016_20260713T091051_P05023_N_F_J_001
Sv_09_W_80,Sv,09,W,2026-07-13T09:10:16+00:00,NISAR_L2_PR_GSLC_025_074_A_171_2005_DHDH_A_20260713T091016_20260713T091051_P05023_N_F_J_001
Fo_07_W_45,Fo,07,W,2026-07-13T09:10:50+00:00,NISAR_L2_PR_GSLC_025_074_A_172_2005_DHDH_A_20260713T091050_20260713T091124_P05023_N_F_J_001
Gl_07_U_56,Gl,07,U,2026-07-13T09:10:50+00:00,NISAR_L2_PR_GSLC_025_074_A_172_2005_DHDH_A_20260713T091050_20260713T091124_P05023_N_F_J_001
Gl_07_W_55,Gl,07,W,2026-07-13T09:10:50+00:00,NISAR_L2_PR_GSLC_025_074_A_172_2005_DHDH_A_20260713T091050_20260713T091124_P05023_N_F_J_001
Sv_07_G_54,Sv,07,G,2026-07-13T09:10:50+00:00,NISAR_L2_PR_GSLC_025_074_A_172_2005_DHDH_A_20260713T091050_20260713T091124_P05023_N_F_J_001
Sv_07_R_53,Sv,07,R,2026-07-13T09:10:50+00:00,NISAR_L2_PR_GSLC_025_074_A_172_2005_DHDH_A_20260713T091050_20260713T091124_P05023_N_F_J_001
