poly_id,class,domain,sample,scene_time,product_id
Fo_11_G_139,Fo,11,G,2026-03-14T08:42:43+00:00,S1A_IW_SLC__1SDV_20260314T084243_20260314T084310_063621_07FF27_4466-SLC
Sv_02_B_97,Sv,02,B,2026-03-14T08:42:43+00:00,S1A_IW_SLC__1SDV_20260314T084243_20260314T084310_063621_07FF27_4466-SLC
Fo_02_R_93,Fo,02,R,2026-03-14T08:43:07+00:00,S1A_IW_SLC__1SDV_20260314T084307_20260314T084335_063621_07FF27_C818-SLC
Fo_02_U_91,Fo,02,U,2026-03-14T08:43:33+00:00,S1A_IW_SLC__1SDV_20260314T084333_20260314T084400_063621_07FF27_22B0-SLC
Gl_01_G_44,Gl,01,G,2026-03-14T08:43:58+00:00,S1A_IW_SLC__1SDV_20260314T084358_20260314T084425_063621_07FF27_A244-SLC
Gl_02_U_101,Gl,02,U,2026-03-14T08:43:58+00:00,S1A_IW_SLC__1SDV_20260314T084358_20260314T084425_063621_07FF27_A244-SLC
Gl_02_W_100,Gl,02,W,2026-03-14T08:43:58+00:00,S1A_IW_SLC__1SDV_20260314T084358_20260314T084425_063621_07FF27_A244-SLC
Fo_02_G_94,Fo,02,G,2026-03-14T08:44:23+00:00,S1A_IW_SLC__1SDV_20260314T084423_20260314T084450_063621_07FF27_99E5-SLC
Sv_01_B_37,Sv,01,B,2026-03-14T08:44:23+00:00,S1A_IW_SLC__1SDV_20260314T084423_20260314T084450_063621_07FF27_99E5-SLC
Fo_03_G_109,Fo,03,G,2026-03-14T08:44:48+00:00,S1A_IW_SLC__1SDV_20260314T084448_20260314T084515_063621_07FF27_3658-SLC
Fo_03_R_108,Fo,03,R,2026-03-14T08:44:48+00:00,S1A_IW_SLC__1SDV_20260314T084448_20260314T084515_063621_07FF27_3658-SLC
Gl_03_G_119,Gl,03,G,2026-03-14T08:44:48+00:00,S1A_IW_SLC__1SDV_20260314T084448_20260314T084515_063621_07FF27_3658-SLC
