query_name,feature_index,platform_filter,relative_orbit_filter,dataset,platform,product_id,scene_name,file_name,asset_key,download_url,processing_level,flight_direction,relative_orbit,absolute_orbit,frame_number,start_time,stop_time,size_mb,download_path,status
feature_0_part_1_split_1,0,Sentinel-1A,,SENTINEL-1,Sentinel-1A,S1A_IW_SLC__1SDV_20260131T093424_20260131T093451_063009_07E809_B720-SLC,S1A_IW_SLC__1SDV_20260131T093424_20260131T093451_063009_07E809_B720,S1A_IW_SLC__1SDV_20260131T093424_20260131T093451_063009_07E809_B720.zip,primary,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20260131T093424_20260131T093451_063009_07E809_B720.zip,SLC,DESCENDING,112,63009,640,2026-01-31T09:34:24Z,2026-01-31T09:34:51Z,0.0 MB,C:\Users\jales\Documents\GitHub\thesis_code\downloads\sentinel1_asf\Sentinel-1A\S1A_IW_SLC__1SDV_20260131T093424_20260131T093451_063009_07E809_B720.zip,missing_auth
feature_0_part_1_split_1,0,Sentinel-1A,,SENTINEL-1,Sentinel-1A,S1A_IW_SLC__1SDV_20260131T093359_20260131T093426_063009_07E809_C50E-SLC,S1A_IW_SLC__1SDV_20260131T093359_20260131T093426_063009_07E809_C50E,S1A_IW_SLC__1SDV_20260131T093359_20260131T093426_063009_07E809_C50E.zip,primary,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20260131T093359_20260131T093426_063009_07E809_C50E.zip,SLC,DESCENDING,112,63009,635,2026-01-31T09:33:59Z,2026-01-31T09:34:26Z,0.0 MB,C:\Users\jales\Documents\GitHub\thesis_code\downloads\sentinel1_asf\Sentinel-1A\S1A_IW_SLC__1SDV_20260131T093359_20260131T093426_063009_07E809_C50E.zip,missing_auth
feature_0_part_1_split_1,0,Sentinel-1A,,SENTINEL-1,Sentinel-1A,S1A_IW_SLC__1SDV_20260131T093334_20260131T093402_063009_07E809_50A1-SLC,S1A_IW_SLC__1SDV_20260131T093334_20260131T093402_063009_07E809_50A1,S1A_IW_SLC__1SDV_20260131T093334_20260131T093402_063009_07E809_50A1.zip,primary,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20260131T093334_20260131T093402_063009_07E809_50A1.zip,SLC,DESCENDING,112,63009,630,2026-01-31T09:33:34Z,2026-01-31T09:34:02Z,0.0 MB,C:\Users\jales\Documents\GitHub\thesis_code\downloads\sentinel1_asf\Sentinel-1A\S1A_IW_SLC__1SDV_20260131T093334_20260131T093402_063009_07E809_50A1.zip,missing_auth
feature_0_part_1_split_1,0,Sentinel-1A,,SENTINEL-1,Sentinel-1A,S1A_IW_SLC__1SDV_20260130T085435_20260130T085500_062994_07E770_ECF0-SLC,S1A_IW_SLC__1SDV_20260130T085435_20260130T085500_062994_07E770_ECF0,S1A_IW_SLC__1SDV_20260130T085435_20260130T085500_062994_07E770_ECF0.zip,primary,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20260130T085435_20260130T085500_062994_07E770_ECF0.zip,SLC,DESCENDING,97,62994,656,2026-01-30T08:54:35Z,2026-01-30T08:55:00Z,0.0 MB,C:\Users\jales\Documents\GitHub\thesis_code\downloads\sentinel1_asf\Sentinel-1A\S1A_IW_SLC__1SDV_20260130T085435_20260130T085500_062994_07E770_ECF0.zip,missing_auth
feature_0_part_1_split_1,0,Sentinel-1A,,SENTINEL-1,Sentinel-1A,S1A_IW_SLC__1SDV_20260130T085411_20260130T085438_062994_07E770_E27C-SLC,S1A_IW_SLC__1SDV_20260130T085411_20260130T085438_062994_07E770_E27C,S1A_IW_SLC__1SDV_20260130T085411_20260130T085438_062994_07E770_E27C.zip,primary,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20260130T085411_20260130T085438_062994_07E770_E27C.zip,SLC,DESCENDING,97,62994,651,2026-01-30T08:54:11Z,2026-01-30T08:54:38Z,0.0 MB,C:\Users\jales\Documents\GitHub\thesis_code\downloads\sentinel1_asf\Sentinel-1A\S1A_IW_SLC__1SDV_20260130T085411_20260130T085438_062994_07E770_E27C.zip,missing_auth
feature_0_part_1_split_1,0,Sentinel-1A,,SENTINEL-1,Sentinel-1A,S1A_IW_SLC__1SDV_20260130T085345_20260130T085413_062994_07E770_5BB3-SLC,S1A_IW_SLC__1SDV_20260130T085345_20260130T085413_062994_07E770_5BB3,S1A_IW_SLC__1SDV_20260130T085345_20260130T085413_062994_07E770_5BB3.zip,primary,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20260130T085345_20260130T085413_062994_07E770_5BB3.zip,SLC,DESCENDING,97,62994,646,2026-01-30T08:53:45Z,2026-01-30T08:54:13Z,0.0 MB,C:\Users\jales\Documents\GitHub\thesis_code\downloads\sentinel1_asf\Sentinel-1A\S1A_IW_SLC__1SDV_20260130T085345_20260130T085413_062994_07E770_5BB3.zip,missing_auth
feature_0_part_1_split_1,0,Sentinel-1A,,SENTINEL-1,Sentinel-1A,S1A_IW_SLC__1SDV_20260130T085320_20260130T085347_062994_07E770_AF71-SLC,S1A_IW_SLC__1SDV_20260130T085320_20260130T085347_062994_07E770_AF71,S1A_IW_SLC__1SDV_20260130T085320_20260130T085347_062994_07E770_AF71.zip,primary,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20260130T085320_20260130T085347_062994_07E770_AF71.zip,SLC,DESCENDING,97,62994,641,2026-01-30T08:53:20Z,2026-01-30T08:53:47Z,0.0 MB,C:\Users\jales\Documents\GitHub\thesis_code\downloads\sentinel1_asf\Sentinel-1A\S1A_IW_SLC__1SDV_20260130T085320_20260130T085347_062994_07E770_AF71.zip,missing_auth
feature_0_part_1_split_1,0,Sentinel-1A,,SENTINEL-1,Sentinel-1A,S1A_IW_SLC__1SDV_20260130T085255_20260130T085322_062994_07E770_F65E-SLC,S1A_IW_SLC__1SDV_20260130T085255_20260130T085322_062994_07E770_F65E,S1A_IW_SLC__1SDV_20260130T085255_20260130T085322_062994_07E770_F65E.zip,primary,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20260130T085255_20260130T085322_062994_07E770_F65E.zip,SLC,DESCENDING,97,62994,636,2026-01-30T08:52:55Z,2026-01-30T08:53:22Z,0.0 MB,C:\Users\jales\Documents\GitHub\thesis_code\downloads\sentinel1_asf\Sentinel-1A\S1A_IW_SLC__1SDV_20260130T085255_20260130T085322_062994_07E770_F65E.zip,missing_auth
feature_0_part_1_split_1,0,Sentinel-1A,,SENTINEL-1,Sentinel-1A,S1A_IW_SLC__1SDV_20260130T085230_20260130T085257_062994_07E770_D7A7-SLC,S1A_IW_SLC__1SDV_20260130T085230_20260130T085257_062994_07E770_D7A7,S1A_IW_SLC__1SDV_20260130T085230_20260130T085257_062994_07E770_D7A7.zip,primary,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20260130T085230_20260130T085257_062994_07E770_D7A7.zip,SLC,DESCENDING,97,62994,631,2026-01-30T08:52:30Z,2026-01-30T08:52:57Z,0.0 MB,C:\Users\jales\Documents\GitHub\thesis_code\downloads\sentinel1_asf\Sentinel-1A\S1A_IW_SLC__1SDV_20260130T085230_20260130T085257_062994_07E770_D7A7.zip,missing_auth
feature_0_part_1_split_1,0,Sentinel-1A,,SENTINEL-1,Sentinel-1A,S1A_IW_SLC__1SDV_20260130T085206_20260130T085233_062994_07E770_AE48-SLC,S1A_IW_SLC__1SDV_20260130T085206_20260130T085233_062994_07E770_AE48,S1A_IW_SLC__1SDV_20260130T085206_20260130T085233_062994_07E770_AE48.zip,primary,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20260130T085206_20260130T085233_062994_07E770_AE48.zip,SLC,DESCENDING,97,62994,626,2026-01-30T08:52:06Z,2026-01-30T08:52:33Z,0.0 MB,C:\Users\jales\Documents\GitHub\thesis_code\downloads\sentinel1_asf\Sentinel-1A\S1A_IW_SLC__1SDV_20260130T085206_20260130T085233_062994_07E770_AE48.zip,missing_auth
